N	2gram	Medvedev_B_1	Hudozhes
1	и в	1	28
2	и не	2	18
3	а не	1	14
4	не только	1	11
5	так и	1	8
6	об этом	1	7
7	не было	1	6
8	в своей	1	6
9	что в	1	5
10	и о	1	4
11	как будто	1	4
12	еще не	1	3
13	одной из	1	3
14	прежде всего	1	3
15	и ее	1	3
16	не все	1	3
17	что все	1	3
18	будто бы	1	3
19	и на	1	3
20	о них	1	3
21	с другой	1	3
22	все это	2	3
23	в ней	2	3
24	было бы	1	3
25	можно было	2	3
26	все же	1	2
27	говорить о	1	2
28	же не	1	2
29	между ними	1	2
30	к ней	1	2
31	отнюдь не	1	2
32	а о	1	2
33	представляется нам	1	2
34	в данном	1	2
35	в значительной	1	1
36	учителя словесности	1	1
37	другой стороны	1	1
38	не следует	1	1
39	начинает говорить	1	1
40	не о	1	1
41	из ее	1	1
42	остановиться на	1	1
43	значительной степени	1	1
44	никак не	1	1
45	не то	2	1
46	до конца	1	1
47	и потому	1	1
48	то как	1	1
49	совершенно не	1	1
50	за пределы	1	1
51	о свободе	1	1
52	по нашему	1	1
53	и нет	1	1
54	всего в	1	1
55	в области	1	1
56	только сейчас	1	1
57	установка на	1	1
58	в пределах	1	1
59	и более	1	1
60	в речи	1	1
