N	4gram	Losev_Dial_3	Problema
1	и тем не менее	2	8
2	взятая сама по себе	1	4
3	и т д и	6	4
4	т д и т	5	3
5	д и т д	5	2
6	не что иное как	6	2
7	в себе не содержит	1	2
8	когда мы говорим что	1	2
9	есть не что иное	3	2
10	или по крайней мере	1	1
11	по себе отнюдь еще	1	1
12	вовсе не есть ни	1	1
13	мы до сих пор	1	1
14	даже если бы мы	1	1
15	уже по одному тому	2	1
16	внимание на то что	1	1
17	сказать что она есть	1	1
18	с точки зрения самого	1	1
19	себе отнюдь еще не	1	1
20	одно и то же	2	1
21	это есть не что	1	1
22	это значит что мы	3	1
23	это не значит что	1	1
24	в то время как	4	1
25	ничего не говорит о	2	1
26	не только есть нечто	1	1
27	только на то что	2	1
28	сам по себе отнюдь	1	1
29	то это значит что	3	1
30	по себе отнюдь не	1	1
31	не чем иным как	1	1
32	в таком случае вы	1	1
33	так же как и	1	1
34	по себе вовсе еще	1	1
35	что она есть нечто	1	1
36	до сих пор говорили	1	1
37	и уж тем более	1	1
38	себе вовсе еще не	1	1
39	в том что все	1	1
40	и в то же	1	1
41	по одному тому что	2	1
42	не говоря уже о	2	1
43	только тогда когда есть	1	1
44	в связи с этим	1	1
45	которое ничего не знает	1	1
