N	3gram	Losev_Vlad_2	Mirosoze
1	не может быть	1	17
2	не было бы	1	5
3	вместе с тем	1	5
4	потому что в	1	3
5	это значит что	1	3
6	и в нем	1	3
7	и в конце	1	2
8	не может не	1	2
9	уже не только	1	2
10	он не может	1	2
11	до сих пор	1	2
12	никогда не был	2	2
13	он никогда не	2	2
14	в них нет	1	2
15	то время как	1	2
16	не только в	2	2
17	в конце концов	3	2
18	человек не может	2	2
19	он уже не	2	2
20	в то время	6	2
21	него не было	1	2
22	я хотел бы	1	2
23	для того чтобы	1	2
24	в высшей степени	1	2
25	он не только	1	2
26	что иное как	1	1
27	с обычной точки	1	1
28	и он был	1	1
29	может быть названа	1	1
30	яснее и проще	1	1
31	в самом деле	1	1
32	так и не	2	1
33	они не могут	1	1
34	было для него	1	1
35	вл соловьева в	20	1
36	в отличие от	3	1
37	у него не	1	1
38	ко всему этому	2	1
39	было бы и	1	1
40	но это не	1	1
41	может быть и	1	1
42	его личности и	1	1
43	в своем отношении	1	1
44	имел в виду	1	1
45	до конца и	1	1
46	был не только	1	1
47	обычной точки зрения	1	1
48	чем он сам	1	1
49	своем отношении к	1	1
50	не в том	3	1
51	был и оставался	1	1
52	это было уже	1	1
53	во всяком случае	6	1
54	он пишет в	1	1
55	все это нужно	1	1
56	у него до	1	1
57	и в том	1	1
58	них нет ничего	1	1
59	нужно сказать что	1	1
60	он был в	1	1
61	о том что	3	1
62	для нас в	1	1
63	не что иное	1	1
64	можно было бы	2	1
65	в себе в	1	1
66	в том что	9	1
