N	3gram	Losev_Vlad_3	Istorich
1	с другой стороны	2	8
2	не только в	1	5
3	о том что	8	5
4	так же как	2	4
5	с одной стороны	3	4
6	тем не менее	9	4
7	в том что	10	4
8	этой точки зрения	1	3
9	начинается с того	1	3
10	мы уже знаем	1	3
11	то что в	3	3
12	с этой точки	1	3
13	мы видим что	1	3
14	не может быть	6	3
15	в данном случае	2	3
16	уже знаем что	1	2
17	то время как	2	2
18	между прочим и	1	2
19	точно так же	4	2
20	до сих пор	1	2
21	мы не можем	1	2
22	в то время	4	2
23	что и в	3	2
24	о том как	1	1
25	мы знаем что	1	1
26	при помощи которых	1	1
27	сказать что в	1	1
28	с точки зрения	6	1
29	все дело в	1	1
30	он не мог	1	1
31	по вопросу о	1	1
32	в самом деле	1	1
33	он не только	1	1
34	с тех пор	1	1
35	в этом случае	1	1
36	о том почему	1	1
37	же как и	1	1
38	он мог бы	1	1
39	то же самое	1	1
40	и должны быть	1	1
41	только в том	3	1
42	и то и	1	1
43	в иных случаях	1	1
44	сама по себе	1	1
45	бы то ни	3	1
46	а так как	1	1
47	независимо от того	2	1
48	совершенно так же	2	1
49	можно было бы	1	1
50	одна из них	1	1
51	и не в	1	1
52	ко всякого рода	1	1
53	то и другое	1	1
54	у него нет	1	1
55	вместе с тем	6	1
56	что по вопросу	1	1
57	свою жизнь но	1	1
58	и что в	1	1
59	не говорит о	2	1
60	обращает на себя	2	1
61	в свете этой	1	1
62	то ни было	1	1
63	то он не	1	1
64	об этом же	1	1
65	то это значит	4	1
66	все же не	1	1
67	вопросу о том	1	1
68	в связи с	2	1
69	то что он	1	1
70	но в данном	1	1
71	и потому что	2	1
72	в связи со	1	1
73	и она не	1	1
74	на вопрос что	1	1
75	здесь перед нами	1	1
76	у него и	1	1
77	более или менее	5	1
78	надо сказать что	1	1
79	но уже в	1	1
80	определяется не только	1	1
81	в этом же	1	1
82	и что если	1	1
83	в основном как	1	1
84	это значит что	6	1
85	том как эта	1	1
86	вопрос о том	1	1
87	не только на	1	1
88	но все эти	1	1
89	становится ясным что	1	1
90	к тому что	2	1
91	по этому вопросу	1	1
92	только тот кто	1	1
93	здесь идет речь?	1	1
94	к самому себе	1	1
95	и что эта	1	1
96	ни в каких	2	1
97	как мы видели	3	1
