N	3gram	Medvedev_V_1	Tragedij
1	то же время	5	5
2	в то же	5	5
3	отцы и дети	1	2
4	в данном случае	1	2
5	но в то	1	2
6	бросается в глаза	1	2
7	между этими двумя	1	2
8	о том что	3	2
9	в том что	5	2
10	а между тем	1	1
11	об этом свидетельствует	1	1
12	творческий процесс у	1	1
13	и не может	2	1
14	хотя бы и	5	1
15	что он не	1	1
16	между тем дело	1	1
17	и т п	9	1
18	все это мы	1	1
19	может быть свободен	1	1
20	но у него	1	1
21	бы и в	1	1
22	в применении к	1	1
23	в виду не	1	1
24	или как говорит	1	1
25	во всяком случае	1	1
26	в конце концов	2	1
27	и не быть	1	1
28	в чем же	2	1
29	по сравнению с	1	1
30	не могут быть	1	1
31	прежде всего необходимо	1	1
32	быть свободен только	1	1
33	бы и не	3	1
34	необходимо подчеркнуть что	1	1
35	все же не	1	1
36	в связи с	3	1
37	не может быть	8	1
38	отцов и детей	1	1
39	так же по	1	1
40	как и все	1	1
41	и вместе с	1	1
42	это и есть	3	1
43	еще в году	1	1
44	в одном из	3	1
45	не только не	2	1
46	в самом деле	1	1
47	после того как	1	1
48	в братьях карамазовых	1	1
49	к тому что	3	1
50	в стихах и	1	1
51	может быть в	1	1
52	толстой и достоевский	1	1
53	могло бы и	1	1
