N	4gram	Potebnia_M_3	Vvedenie
1	в то же время	5	6
2	с одной стороны и	1	3
3	и в самом деле	1	3
4	одной и той же	2	2
5	по самой своей природе	1	2
6	заключается в том что	1	2
7	лишь в том что	1	1
8	в строгом смысле этого	1	1
9	легко представить себе что	1	1
10	того что в ней	1	1
11	и той же области	1	1
12	одно и то же	5	1
13	смысле может быть названо	1	1
14	только после того как	1	1
15	собственном смысле этого слова	1	1
16	не сам по себе	1	1
17	не только в том	1	1
18	но вместе с тем	1	1
19	а в том чтобы	1	1
20	заключается не только в	1	1
21	стороны своего содержания как	1	1
22	вовсе не в том	1	1
23	тем не менее совершенно	1	1
24	не говоря уже о	1	1
25	в собственном смысле этого	1	1
26	том смысле в каком	1	1
27	само по себе это	1	1
28	то же время служит	1	1
