N	2gram	Voloshinov_1	TeoriaLi
1	в мире	1	24
2	не только	7	18
3	в качестве	1	17
4	и не	4	16
5	я в	1	16
6	а в	3	14
7	и в	16	13
8	в частности	2	13
9	так и	4	12
10	может быть	17	12
11	при этом	6	11
12	в этом	9	11
13	в том	3	11
14	но не	1	10
15	и его	8	10
16	а не	1	10
17	то же	2	9
18	в его	4	9
19	в душе	2	8
20	сводится к	2	8
21	что в	3	8
22	но и	4	8
23	точки зрения	8	7
24	как это	3	7
25	себя в	1	7
26	только в	4	7
27	том что	3	7
28	в данном	1	7
29	еще не	5	6
30	лишь в	1	6
31	с его	7	6
32	но в	4	6
33	как бы	5	6
34	данном случае	1	5
35	как и	2	5
36	в нем	4	5
37	между ними	3	5
38	уже не	1	5
39	в самом	2	5
40	он не	2	5
41	не случайно	1	5
42	с другой	1	5
43	однако в	1	5
44	в рамках	1	5
45	или иной	1	5
46	в пределах	2	5
47	мы имеем	1	5
48	приводит к	1	4
49	не знает	2	4
50	говорить о	2	4
51	можно сказать	4	4
52	не менее	2	4
53	в своей	2	4
54	отношение к	5	4
55	хотя и	1	4
56	то что	3	4
57	конечном счете	2	4
58	и т.п	2	4
59	мира и	3	4
60	ни в	5	4
61	сказать что	7	4
62	не может	8	4
63	в конечном	3	4
64	и ее	4	4
65	в свою	1	4
66	все эти	5	3
67	с ее	4	3
68	что можно	2	3
69	и вот	3	3
70	о ней	1	3
71	в другом	1	3
72	прежде всего	9	3
73	таким образом	9	3
74	в этой	4	3
75	как раз	1	3
76	и внешней	1	3
77	в нашем	1	3
78	его в	4	3
79	в итоге	2	3
80	этом смысле	3	3
81	для него	6	3
82	входит в	1	3
83	в этих	3	3
84	и сам	1	3
85	и к	6	3
86	в порядке	1	3
87	мог бы	1	3
88	художественного творчества	4	3
89	на почве	1	3
90	и потому	3	3
91	в основе	3	3
92	а с	1	3
93	и т.д	1	3
94	и что	1	3
95	без остатка	1	3
96	никогда не	2	3
97	и др	3	3
98	на две	3	3
99	и то	1	3
100	и по	2	3
101	по своему	2	3
102	той или	1	3
103	внутреннего мира	1	2
104	образом и	1	2
105	и здесь	1	2
106	и того	1	2
107	оказывается в	1	2
108	того же	2	2
109	что они	1	2
110	так же	2	2
111	и для	2	2
112	чем это	1	2
113	вовсе не	1	2
114	без исключения	1	2
115	к нему	1	2
116	в культуре	1	2
117	я и	6	2
118	в большинстве	3	2
119	право на	1	2
120	в конце	1	2
121	во всех	3	2
122	а на	2	2
123	в году	1	2
124	жизни в	1	2
125	между собой	2	2
126	вместе с	3	2
127	отношения к	3	2
128	жизни но	1	2
129	только не	1	2
130	и притом	3	2
131	в себя	1	2
132	но как	2	2
133	к тому	1	2
134	и о	2	2
135	за пределы	2	2
136	к такой	1	2
137	с точки	6	2
138	для меня	2	2
139	имеем дело	1	2
140	это и	1	2
141	одного и	1	2
142	не на	2	2
143	в чем	5	2
144	мире и	1	2
145	всех без	1	2
146	и даже	4	2
147	собою в	1	2
148	это было	1	2
149	со стороны	1	2
