N	3gram	Potebnia_M_1	TeoriaLi
1	по отношению к	13	8
2	в том что	13	6
3	то же время	3	6
4	в то же	3	6
5	более или менее	1	4
6	с другой стороны	5	3
7	тем не менее	6	3
8	в свою очередь	4	3
9	в этом смысле	4	3
10	и того же	2	2
11	и не могло	1	2
12	с точки зрения	3	2
13	в противном случае	3	2
14	с одной стороны	3	2
15	и тем самым	1	2
16	не только не	2	2
17	одного и того	2	2
18	сама по себе	3	2
19	не может быть	9	2
20	как и в	2	2
21	таким образом что	2	1
22	на нее как	1	1
23	а между тем	3	1
24	и потому что	2	1
25	этой точки зрения	1	1
26	в душе в	1	1
27	дело в том	2	1
28	друг другу и	1	1
29	это было бы	1	1
30	подобно тому как	3	1
31	может быть назван	1	1
32	в таком случае	2	1
33	бы то ни	2	1
34	только то что	1	1
35	из того что	1	1
36	между лицом и	1	1
37	собственно говоря только	1	1
38	точно так же	1	1
39	по крайней мере	2	1
40	еще не есть	1	1
41	не совпадает с	1	1
42	в первом случае	1	1
43	то ни было	1	1
44	по себе еще	1	1
45	развития но и	1	1
46	легко может быть	1	1
47	в произведении искусства	1	1
48	с тем же	1	1
49	не могут быть	2	1
50	и в этой	1	1
51	и как бы	3	1
52	но одно из	1	1
53	таким же образом	1	1
54	не только к	1	1
55	в связи с	1	1
56	еще и потому	1	1
57	так же как	1	1
58	субъекта и объекта	4	1
59	в то время	1	1
60	а в том	3	1
61	с этой точки	1	1
62	имея в виду	1	1
63	о том что	1	1
64	в себе самом	1	1
65	между тем в	1	1
66	и в слове	1	1
67	бы они ни	2	1
68	они ни были	2	1
69	но дело в	2	1
70	в том и	2	1
71	но на деле	2	1
72	в сравнении с	2	1
73	для того чтобы	2	1
74	по себе а	1	1
75	себе еще не	1	1
76	входит в его	1	1
77	в том в	1	1
