N	3gram	Kanaev_Sov_1	Mirosoze
1	не может быть	4	17
2	не было бы	1	5
3	это значит что	1	3
4	то нет и	1	3
5	заключает в себе	1	3
6	был прежде всего	1	2
7	и не может	1	2
8	он уже не	1	2
9	по отношению к	1	2
10	не могут быть	1	2
11	а не только	1	2
12	не может не	3	2
13	до сих пор	1	2
14	с человеком человек	1	1
15	и не было	1	1
16	быть и речи	1	1
17	что иное как	1	1
18	когда мы говорим	1	1
19	в себе в	1	1
20	она не может	1	1
21	в том что	1	1
22	что она может	1	1
23	и ничего не	1	1
24	в отличие от	2	1
25	не что иное	1	1
26	в том случае	1	1
27	если нет свободы	1	1
28	все более и	1	1
29	и та же	1	1
30	может быть и	2	1
31	в самом деле	1	1
32	в зависимости от	4	1
33	в первый период	1	1
34	одна и та	1	1
35	и есть то	1	1
36	они не могут	1	1
37	не в том	1	1
38	во всяком случае	2	1
39	же этот процесс	1	1
40	более и более	1	1
41	можно было бы	1	1
