N	3gram	Voloshinov_1	Hudozhes
1	в том что	1	11
2	о том что	2	7
3	то же время	7	4
4	на наш взгляд	1	4
5	в то же	9	4
6	к тому что	2	4
7	в самом деле	1	3
8	но при этом	2	3
9	не может быть	2	3
10	как и в	1	3
11	в конечном счете	1	3
12	для того чтобы	7	3
13	тем не менее	1	3
14	и в этом	1	2
15	с точки зрения	5	2
16	до сих пор	1	2
17	и в то	2	2
18	хотя бы и	1	2
19	можно было бы	1	2
20	то же самое	4	2
21	того или иного	5	2
22	не только не	1	2
23	не только в	3	2
24	это же самое	1	1
25	нет и не	1	1
26	а в действительности	1	1
27	той или иной	3	1
28	в этом разговоре	1	1
29	но то что	1	1
30	как раз и	1	1
31	и все же	1	1
32	тот или иной	1	1
33	и ответ на	1	1
34	в этом отношении	2	1
35	же самое время	2	1
36	его места и	1	1
37	то или иное	4	1
38	что же мы	1	1
39	в казенной палате	2	1
40	того чтобы не	1	1
41	в значительной степени	2	1
42	так а не	1	1
43	точкой зрения на	1	1
44	не думал о	1	1
45	тем что он	1	1
46	и не было	1	1
47	и при этом	1	1
48	между тем в	1	1
49	но и его	1	1
50	и в жизни	1	1
51	с другой стороны	1	1
52	содержит в себе	1	1
53	что же такое	2	1
54	не происходит ли	1	1
55	автор и читатель	1	1
56	та или иная	1	1
57	в этом случае	3	1
58	с самого начала	4	1
59	это отнюдь не	1	1
60	жизни как бы	1	1
61	именно потому что	1	1
62	но все же	2	1
63	можно сказать что	2	1
64	в жизни и	1	1
65	как бы в	3	1
66	создается прежде всего	1	1
67	в разговоре с	1	1
68	ответ на него	1	1
69	но как только	1	1
70	в своей жизни	1	1
71	или иное место	1	1
