N	3gram	Vinokur_Ku_1	Mirosoze
1	не может быть	3	8
2	для того чтобы	15	4
3	что и в	1	4
4	что иное как	1	3
5	до сих пор	4	3
6	к тому что	2	3
7	так же как	1	3
8	от того что	1	3
9	потому что она	1	3
10	не что иное	1	3
11	для этого необходимо	1	3
12	потому что он	1	2
13	но для этого	1	2
14	в братьях карамазовых	1	2
15	т е в	2	2
16	не может уже	1	2
17	в дневнике писателя	1	2
18	о том что	5	2
19	по отношению к	8	2
20	после того как	1	2
21	в том что	15	2
22	мы увидим что	2	2
23	не есть уже	1	1
24	что было в	1	1
25	в ней все	1	1
26	всего потому что	2	1
27	было бы назвать	1	1
28	том что он	4	1
29	так и не	1	1
30	только тогда когда	1	1
31	находится в противоречии	1	1
32	с точки зрения	9	1
33	и во многих	1	1
34	во многих других	1	1
35	и в той	1	1
36	для себя и	1	1
37	может быть противопоставлен	1	1
38	между тем как	1	1
39	а может быть	1	1
40	в себе и	1	1
41	в этом отношении	5	1
42	в той мере	5	1
43	он также и	1	1
44	на то что	2	1
45	зачем живет такой	1	1
46	и тогда когда	3	1
47	которые могли бы	1	1
48	бы и не	1	1
49	что не все	1	1
50	не потому что	3	1
51	в противоречии с	1	1
52	той мере в	5	1
53	из моментов в	1	1
54	смысле этого слова	1	1
55	во втором случае	1	1
56	но в нем	1	1
57	в себе всю	1	1
58	не для того	1	1
59	я не люблю	1	1
60	мере в какой	5	1
61	себя и для	1	1
62	в стороне от	1	1
63	они не имеют	1	1
64	у нас все	2	1
65	и в борьбе	1	1
66	на наших глазах	1	1
67	живет такой человек?	1	1
68	не в силах	1	1
69	та или иная	1	1
70	хотя бы в	4	1
71	той или иной	1	1
72	к которому он	1	1
73	на самом деле	2	1
74	берет на себя	1	1
75	в письме к	1	1
