N	3gram	Propp_Morf_1	EvropaiC
1	в том что	3	16
2	до сих пор	1	12
3	по отношению к	4	10
4	друг с другом	1	9
5	с точки зрения	2	8
6	на самом деле	4	7
7	более или менее	2	7
8	а и в	1	7
9	на то что	2	7
10	для того чтобы	2	6
11	в этом случае	8	4
12	сих пор не	1	4
13	том случае если	1	4
14	в том случае	1	4
15	может быть и	2	4
16	с другой стороны	4	4
17	не может быть	9	4
18	о том что	1	4
19	тем не менее	4	4
20	в настоящее время	3	3
21	в данном случае	1	3
22	в связи с	8	3
23	заметим кстати что	1	2
24	и может быть	1	2
25	но так как	1	2
26	том что он	1	2
27	что же касается	1	2
28	ответить на вопрос	1	2
29	бы то ни	3	2
30	то ни было	2	2
31	с одной стороны	1	2
32	как бы то	1	2
33	друг к другу	2	2
34	во всяком случае	2	2
35	что несмотря на	1	2
36	как и в	2	2
37	но все же	3	2
38	не более как	1	2
39	а для того	1	1
40	хотя и не	1	1
41	могут рассматриваться как	1	1
42	и то же	1	1
43	с тем как	1	1
44	иметь в виду	1	1
45	то время как	3	1
46	это было бы	1	1
47	так как эта	1	1
48	самого начала в	1	1
49	между тем в	1	1
50	между тем мы	1	1
51	тем что она	1	1
52	что он может	1	1
53	должны рассматриваться как	1	1
54	друг на друга	2	1
55	для этой цели	1	1
56	является одним из	1	1
57	независимо от того	3	1
58	дело идет об	1	1
59	совершенно ясно что	1	1
60	точно так же	1	1
61	которые не могут	1	1
62	правильнее было бы	1	1
63	одно и то	1	1
64	первый взгляд кажется	1	1
65	ясно что и	1	1
66	в том или	1	1
67	стоит в связи	1	1
68	мало того ведь	1	1
69	в высшей степени	1	1
70	на первый взгляд	3	1
71	мы говорили лишь	1	1
72	состоит в том	2	1
73	а в с	1	1
74	приводит к тому	1	1
75	или вовсе не	1	1
76	в этом и	1	1
77	а на самом	1	1
78	они вступают в	1	1
79	вместо того чтобы	1	1
80	и затем уже	1	1
81	образом мы видим	3	1
82	в тех случаях	2	1
83	и таким образом	2	1
84	в научной литературе	1	1
85	таким образом мы	5	1
86	то для того	1	1
87	в то время	3	1
88	из которых каждый	1	1
89	и что следовательно	1	1
90	с самого начала	1	1
91	взгляд кажется что	1	1
92	ни одна из	1	1
93	лишь о тех	1	1
94	и пр эта	1	1
95	которые могут быть	1	1
96	тех случаях когда	2	1
97	в другом случае	1	1
98	к тому что	3	1
99	мы видим что	9	1
100	во многих отношениях	1	1
101	та же участь	1	1
102	говорили лишь о	1	1
