N	3gram	Vinokur_St_3	SlovoVZh
1	не может быть	5	7
2	можно сказать что	1	5
3	в том что	11	4
4	тем не менее	2	3
5	этой точки зрения	1	3
6	до сих пор	2	3
7	и не в	2	3
8	это не так	2	2
9	в какой степени	1	2
10	в такой же	1	2
11	на самом деле	1	2
12	с другой стороны	4	2
13	то же самое	1	2
14	с точки зрения	4	2
15	находит свое выражение	1	2
16	с одной стороны	2	2
17	но все же	2	1
18	и в этом	2	1
19	как например в	4	1
20	все более и	2	1
21	в этом направлении	1	1
22	то время как	4	1
23	более или менее	1	1
24	во всяком случае	4	1
25	так как в	1	1
26	в самом деле	1	1
27	в этом смысле	4	1
28	между тем как	2	1
29	iv прежде всего	1	1
30	в то время	4	1
31	от того кто	1	1
32	но уже в	1	1
33	что мы имеем	2	1
34	сам по себе	1	1
35	в свою очередь	1	1
36	в смысле я	1	1
37	но и в	2	1
38	тогда когда имеется	1	1
39	о том что	4	1
40	в этом отношении	4	1
41	с самого начала	2	1
42	то что я	2	1
43	в определенную эпоху	2	1
44	ни в какой	1	1
45	более и более	2	1
46	что здесь слово	1	1
47	можно было бы	1	1
48	то же время	3	1
49	в русской литературе	1	1
50	мы имеем в	2	1
51	на протяжении всей	1	1
52	в лучшем случае	1	1
53	о чем говорят	1	1
54	по крайней мере	4	1
55	в то же	3	1
56	говорит о том	1	1
57	и в частности	1	1
58	сих пор мы	1	1
59	к вопросу о	1	1
60	в том же	1	1
