N	2gram	Nazirov_Vr_1	PoTuStor
1	может быть	4	17
2	и в	8	16
3	в этом	8	9
4	таким образом	2	9
5	прежде всего	1	9
6	и с	6	8
7	точки зрения	2	8
8	и его	3	8
9	не может	2	8
10	с его	3	7
11	не только	9	7
12	при этом	4	6
13	с точки	2	6
14	и это	2	6
15	для него	2	6
16	еще не	2	5
17	в чем	3	5
18	отношение к	2	5
19	в него	2	5
20	как бы	4	5
21	и ее	2	4
22	отнюдь не	2	4
23	и наконец	1	4
24	но в	6	4
25	в этой	2	4
26	в нем	6	4
27	его в	3	4
28	все это	4	4
29	с ее	1	4
30	так и	1	4
31	но мы	1	4
32	в его	3	4
33	для всех	1	4
34	и их	1	4
35	и даже	6	4
36	но и	7	4
37	и не	5	4
38	и все	7	4
39	все что	1	4
40	отношения к	2	3
41	едва ли	1	3
42	во всех	1	3
43	и есть	1	3
44	и как	3	3
45	чувств и	2	3
46	их в	2	3
47	этом смысле	1	3
48	том что	3	3
49	во время	2	3
50	сих пор	1	3
51	в одном	1	3
52	по крайней	1	3
53	до сих	1	3
54	к себе	2	3
55	крайней мере	1	3
56	в том	3	3
57	назад в	1	3
58	мы знаем	2	3
59	всяком случае	1	3
60	вместе с	2	3
61	могут быть	1	3
62	матери и	3	3
63	в основном	1	3
64	что в	7	3
65	в этих	1	3
66	а в	2	3
67	то что	7	3
68	только как	1	3
69	жизни и	1	3
70	во всяком	1	3
71	же как	2	2
72	доступ в	1	2
73	в самом	1	2
74	и этот	1	2
75	и о	3	2
76	говорить о	1	2
77	того же	1	2
78	на них	1	2
79	совсем не	1	2
80	но как	2	2
81	с этим	1	2
82	в этот	3	2
83	что это	1	2
84	но ведь	1	2
85	он не	3	2
86	нашего времени	2	2
87	то же	5	2
88	по своему	1	2
89	было бы	1	2
90	в жизни	1	2
91	в них	2	2
92	всю жизнь	1	2
93	как и	6	2
94	и чувств	1	2
95	на первый	2	2
96	в своей	2	2
97	не менее	2	2
98	никогда не	2	2
99	и лишь	1	2
100	в каком	1	2
101	он ищет	1	2
102	не будет	1	2
103	на основе	2	2
104	быть может	1	2
105	и вообще	1	2
106	с ним	4	2
107	о том	4	2
108	для нас	4	2
109	во всей	1	2
110	один из	1	2
111	что он	4	2
112	с нею	2	2
113	в итоге	1	2
114	в начале	6	2
115	в душе	1	2
116	к ним	2	2
117	у него	5	2
118	и т.п	2	2
119	характерно для	1	2
120	в развитии	1	2
121	с помощью	1	2
122	в частности	1	2
123	так же	4	2
124	в свое	1	2
125	но это	2	2
126	и образы	2	2
127	но зато	1	2
128	не есть	1	2
129	к этому	3	2
130	во сне	1	2
131	они не	1	2
132	человека и	1	1
133	и то	2	1
134	шаг за	1	1
135	это и	1	1
136	органическое единство	1	1
137	высшей степени	1	1
138	в году	18	1
139	полагает что	1	1
140	на место	2	1
141	пока только	1	1
142	не слишком	1	1
143	его современников	1	1
144	я не	3	1
145	не совсем	1	1
146	в ней	4	1
147	а другие	1	1
148	он был	3	1
149	первый план	1	1
150	не был	1	1
151	столь же	2	1
152	его отношение	1	1
153	одним словом	1	1
154	но не	1	1
155	же на	1	1
156	заметим что	1	1
157	энергии и	1	1
158	каком направлении	1	1
159	что они	1	1
160	к сожалению	1	1
161	первый взгляд	1	1
162	же с	1	1
163	дает нам	1	1
164	некоторое время	1	1
165	сам же	1	1
166	как нам	1	1
167	все же	6	1
168	хотя и	1	1
169	не являются	1	1
170	уже не	2	1
171	пользу и	1	1
172	как он	1	1
173	во многих	1	1
174	по мнению	2	1
175	время и	2	1
176	из него	1	1
177	человека в	3	1
178	по его	1	1
179	в мире	2	1
180	не должна	1	1
181	конечно в	1	1
182	той же	1	1
183	это было	1	1
184	ни разу	1	1
185	мы считаем	1	1
186	не ясно	1	1
187	несмотря на	4	1
188	нашей статье	1	1
189	одного и	1	1
190	и взял	1	1
191	искать в	1	1
192	и другом	1	1
193	что есть	3	1
194	вот она	1	1
195	вторая часть	1	1
196	что я	2	1
197	не будем	1	1
198	есть еще	1	1
199	однако в	1	1
200	отношения двух	1	1
201	человека но	1	1
202	всех их	1	1
203	первая любовь	4	1
204	одна из	2	1
205	только не	1	1
206	не имеет	1	1
207	не лучше	1	1
208	и эстетический	1	1
209	ничего не	1	1
210	того в	1	1
211	во всем	1	1
212	связи с	3	1
213	в виду	4	1
214	от того	1	1
215	среди них	1	1
216	что мог	1	1
217	в духе	1	1
218	похож на	1	1
219	отличается от	1	1
220	она же	1	1
221	на это	2	1
222	как известно	1	1
223	ничего общего	1	1
224	году в	2	1
225	только при	1	1
226	роль в	1	1
227	и что	8	1
228	и сам	1	1
229	его жизни	1	1
230	еще в	1	1
231	именно этот	1	1
232	в глубине	1	1
233	основания предполагать	1	1
234	о нем	6	1
235	году и	2	1
236	и т.д	1	1
237	нас в	1	1
238	говорить об	1	1
239	этот момент	2	1
240	в другой	1	1
241	и можно	1	1
242	в свете	1	1
243	неожиданно для	1	1
244	человека как	1	1
245	на старом	1	1
246	к нему	1	1
247	что только	1	1
248	о смерти	1	1
249	об их	2	1
250	это же	1	1
251	в качестве	1	1
252	себя в	1	1
253	уже в	4	1
254	в нашей	2	1
255	а это	1	1
256	его и	2	1
257	пока не	1	1
258	в известной	1	1
259	в конце	3	1
260	привела к	1	1
261	ее не	1	1
