N	2gram	Medvedev_V_1	Retstnzi
1	не может	17	4
2	и в	26	3
3	один из	5	2
4	если в	2	2
5	достоевского и	2	2
6	нет и	3	1
7	в особенности	2	1
8	себе все	1	1
9	художественного целого	1	1
10	почти с	1	1
11	и не	19	1
12	можно и	1	1
13	тому что	6	1
14	не только	25	1
15	ни один	7	1
16	художественного произведения	6	1
17	связи с	4	1
18	этой проблемы	3	1
19	себя от	1	1
20	точки зрения	3	1
21	но и	10	1
22	не менее	2	1
23	в системе	2	1
24	с другими	2	1
25	персонажей и	2	1
26	теми или	1	1
27	в ней	2	1
28	с теми	1	1
29	в то	6	1
30	от общей	1	1
31	произведения но	1	1
32	вопрос что	1	1
33	для него	8	1
34	и социальной	2	1
35	мы видим	1	1
36	может не	2	1
37	ситуации и	1	1
38	искусство как	2	1
39	как художественная	1	1
40	условно можно	1	1
41	анализа и	1	1
42	к тому	4	1
43	художественной структуры	2	1
44	а не	7	1
45	его от	2	1
46	может быть	22	1
47	несмотря на	1	1
48	в его	14	1
49	он в	1	1
50	или иными	1	1
51	же время	5	1
52	то же	10	1
53	и все	1	1
54	из этих	7	1
55	можно назвать	1	1
56	если бы	3	1
57	в каждом	2	1
58	исходя из	1	1
59	бы в	3	1
