N	3gram	Vinokur_St_2	Sovremen
1	с точки зрения	2	5
2	в зависимости от	1	4
3	с самого начала	3	3
4	тем не менее	2	2
5	во всяком случае	3	2
6	каждого из них	1	2
7	в отличие от	2	2
8	в свою очередь	1	2
9	в настоящее время	1	2
10	само собою разумеется	2	2
11	в известном смысле	1	1
12	и в этом	2	1
13	всяком случае не	2	1
14	не в том	2	1
15	же как у	1	1
16	одни и те	1	1
17	в связи с	1	1
18	и пр но	1	1
19	дело в том	4	1
20	по отношению к	1	1
21	на самом деле	1	1
22	в этом смысле	1	1
23	так же как	3	1
24	в свое время	1	1
25	в этом случае	1	1
26	совершенно независимо от	1	1
27	до сих пор	5	1
28	и что следовательно	1	1
29	то же время	1	1
30	сами по себе	2	1
31	сих пор в	1	1
32	что в ней	1	1
33	бы то ни	2	1
34	и именно в	1	1
35	и те же	1	1
36	ни о каком	1	1
37	совершенно так же	2	1
38	в самом деле	2	1
39	по его мнению	1	1
40	но все же	2	1
41	в то же	1	1
42	в том что	16	1
43	в данном случае	1	1
44	на этот вопрос	1	1
45	в обоих случаях	1	1
46	то ни было	2	1
47	тот факт что	4	1
