N	3gram	Bakhtin_sl_1	Problema
1	о том что	1	14
2	тем не менее	1	12
3	во всяком случае	5	10
4	в этом случае	2	7
5	по крайней мере	1	6
6	так или иначе	1	6
7	и т д	5	6
8	в данном случае	3	5
9	с одной стороны	4	5
10	того или иного	2	5
11	с другой стороны	4	5
12	более или менее	3	4
13	до сих пор	2	4
14	не был бы	1	4
15	в то же	12	4
16	в том что	1	4
17	то есть не	1	3
18	хотя бы и	3	3
19	но и в	1	3
20	и в частности	1	3
21	мы все же	1	3
22	и в этом	2	3
23	не может быть	1	3
24	те или иные	3	3
25	можно сказать что	1	3
26	и той же	1	2
27	с самого начала	1	2
28	бы то ни	1	2
29	точном смысле слова	1	2
30	в последние десятилетия	1	2
31	можно было бы	2	2
32	может быть только	2	2
33	то или иное	1	2
34	может быть и	1	2
35	для того чтобы	1	2
36	не только в	2	2
37	имеем в виду	1	2
38	одной и той	1	2
39	то есть в	1	2
40	не только не	1	2
41	ничего нового не	2	2
42	и прежде всего	1	2
43	до последнего времени	2	1
44	не может не	5	1
45	как в отношении	1	1
46	в той или	9	1
47	между прочим в	1	1
48	прямо сказать что	1	1
49	прежде всего как	1	1
50	и не все	1	1
51	а вовсе не	2	1
52	это было бы	1	1
53	и нет ничего	1	1
54	всегда в той	2	1
55	мы ничего не	1	1
56	он может быть	1	1
57	и не может	2	1
58	в зависимости от	3	1
59	на самом же	1	1
60	в этом отношении	1	1
61	языка и с	1	1
62	но это не	1	1
63	как мы уже	2	1
64	речи то есть	1	1
65	то есть без	1	1
66	который состоит из	1	1
67	ни в какой	1	1
68	и в то	5	1
69	то есть они	1	1
70	но и всякое	1	1
71	то время как	2	1
72	только в условиях	1	1
73	но как мы	1	1
74	то ни было	1	1
75	вообще не есть	1	1
76	мы не знаем	1	1
77	вовсе не может	1	1
78	несет на себе	1	1
79	и то же	2	1
80	и в отношении	1	1
81	все эти категории	1	1
82	обстоит дело с	1	1
83	в известном смысле	2	1
84	не менее очень	1	1
85	и ничего не	1	1
86	перед нами в	1	1
87	одной из самых	1	1
88	предмета в его	1	1
89	есть только в	1	1
90	в точном смысле	1	1
91	можно прямо сказать	1	1
92	науки о языке	1	1
93	и самый язык	1	1
94	самом же деле	1	1
95	и до наших	1	1
96	для нас в	1	1
97	в то время	2	1
98	так и в	3	1
99	и речи но	1	1
100	на то или	1	1
101	не только на	2	1
102	языка как такового	1	1
103	той или иной	9	1
104	мы имеем в	1	1
105	языка и речи	2	1
106	узком смысле слова	1	1
107	требует также и	1	1
108	в другом случае	2	1
109	слово со своим	1	1
110	в узком смысле	10	1
111	и с другой	1	1
112	в свое время	1	1
