N	3gram	Potebnia_M_2	Problemy
1	до сих пор	4	8
2	не может быть	2	8
3	в большинстве случаев	1	8
4	и не может	1	7
5	то же время	2	5
6	в то же	2	5
7	то есть в	1	4
8	более или менее	8	3
9	в отличие от	1	3
10	сам по себе	4	3
11	с другой стороны	2	3
12	нам кажется что	2	3
13	как и в	1	3
14	дело в том	1	2
15	большей или меньшей	1	2
16	в этом смысле	2	2
17	оно должно быть	1	2
18	и в других	1	2
19	сами по себе	7	2
20	в том что	7	2
21	в большей или	1	2
22	друг на друга	1	2
23	о том что	1	2
24	в одном из	1	2
25	на друга и	1	2
26	сама по себе	2	2
27	и не в	1	2
28	если бы он	1	1
29	мы чувствуем что	1	1
30	если в самом	1	1
31	сплошь да рядом	1	1
32	представим себе что	1	1
33	и в жизни	2	1
34	прежде всего на	1	1
35	том что он	1	1
36	по мере того	4	1
37	а между тем	4	1
38	в этом случае	1	1
39	одной стороны и	1	1
40	языка и не	1	1
41	может быть различно	1	1
42	и во многих	1	1
43	и во всех	2	1
44	бы ни было	1	1
45	в сознании и	1	1
46	между тем как	2	1
47	при этом не	1	1
48	его собственная мысль	1	1
49	одно и то	2	1
50	влияние на все	1	1
51	пространство и время	1	1
52	мы не знаем	1	1
53	с одной стороны	3	1
54	и в процессе	1	1
55	и то же	2	1
56	может обойтись без	1	1
57	между собою и	1	1
58	то что мы	2	1
59	по сравнению с	1	1
60	все же есть	1	1
61	все же не	1	1
62	в связи с	1	1
63	понимать себя и	1	1
64	во всяком случае	7	1
65	о которых мы	1	1
66	правда мы можем	1	1
67	в общем не	1	1
68	этого слова и	1	1
69	а в нем	1	1
70	но он есть	1	1
71	так и в	2	1
72	мере того как	4	1
73	в собственном смысле	1	1
74	с самого начала	2	1
75	и потому сами	1	1
76	и все остальные	2	1
77	но все же	1	1
78	не может обойтись	2	1
79	друг от друга	1	1
80	если бы не	1	1
81	не я и	1	1
82	мы говорим здесь	1	1
83	определенное место в	1	1
84	после того как	2	1
85	есть прежде всего	2	1
86	всяком случае оно	2	1
87	не о том	1	1
88	вместе с нею	1	1
89	в душевной жизни	1	1
90	только в себе	1	1
91	то есть к	1	1
