1	по отношению к	5	9
2	в отличие от	3	7
3	в том что	21	7
4	более или менее	2	5
5	состоит в том	3	5
6	в конечном счете	4	5
7	с другой стороны	1	5
8	той или иной	1	4
9	в этом смысле	2	3
10	с точки зрения	18	3
11	имеем в виду	1	3
12	мы имеем в	1	3
13	не может быть	6	3
14	можно сказать что	1	3
15	в том числе	3	2
16	а с другой	4	2
17	тот или иной	1	2
18	в той или	1	2
19	ни в коем	1	2
20	сама по себе	2	2
21	в данный момент	1	2
22	для того чтобы	10	2
23	приводит к тому	1	2
24	во всей его	1	2
25	в том и	1	2
26	коем случае не	1	2
27	по своей природе	1	2
28	с одной стороны	7	2
29	в коем случае	1	2
30	не могут быть	1	1
31	отношению к которому	1	1
32	таким образом и	1	1
33	здесь и теперь	2	1
34	что даже в	1	1
35	то же самое	2	1
36	то ни было	1	1
37	друг от друга	2	1
38	в связи с	6	1
39	том что он	1	1
40	как это ни	1	1
41	и потому что	1	1
42	в своей жизни	1	1
43	ибо и в	1	1
44	точки зрения и	1	1
45	не входит в	1	1
46	который может быть	1	1
47	в том случае	1	1
48	все без исключения	1	1
49	так же как	1	1
50	каждая из этих	1	1
51	к тому же	1	1
52	именно в этом	1	1
53	из того что	4	1
54	том числе и	3	1
55	речи от внешней	1	1
56	том случае если	1	1
57	мы видим в	2	1
58	в частности в	1	1
59	точно так же	1	1
60	это было бы	1	1
61	чем это может	1	1
62	по ту сторону	2	1
63	в известном смысле	1	1
64	как раз в	2	1
65	именно потому что	1	1
66	даже в том	1	1
67	который в отличие	1	1
68	по сути дела	1	1
69	из этих двух	1	1
70	того же типа	1	1
71	и в самом	2	1
72	бы то ни	1	1
73	и тем самым	1	1
74	иметь в виду	1	1
75	подобно тому как	2	1
76	но на деле	2	1
77	о том что	4	1
78	дело не в	1	1
79	или иной мере	1	1
80	как и в	1	1
81	в другой своей	1	1
82	в таких случаях	1	1
83	что он не	2	1
84	и теперь в	1	1
85	этой точки зрения	1	1
86	заключается в том	7	1
87	только то что	1	1
88	всей его сложности	1	1
89	а по своей	1	1
90	а также в	1	1
