N	2gram	Kanaev_Sov_1	SlovoVZh
1	не может	17	16
2	может быть	12	14
3	точки зрения	12	14
4	как бы	4	13
5	и его	1	13
6	таким образом	11	12
7	и в	7	12
8	по отношению	1	11
9	в нашем	2	11
10	отношению к	1	11
11	и не	6	10
12	если бы	1	9
13	так как	4	9
14	прежде всего	5	8
15	сказать что	1	7
16	для нас	3	7
17	в ней	1	6
18	в том	4	6
19	только в	1	6
20	при этом	3	6
21	с помощью	4	6
22	в нем	3	6
23	все время	1	6
24	в процессе	1	6
25	то же	3	5
26	отнюдь не	3	5
27	но в	3	5
28	а не	3	5
29	как и	6	5
30	и следовательно	1	5
31	том что	1	5
32	никогда не	1	5
33	на самом	1	4
34	зависимости от	4	4
35	к нему	1	4
36	в этом	7	4
37	все же	3	4
38	в самом	2	4
39	уже не	2	4
40	не только	4	4
41	ни было	1	4
42	с другой	1	4
43	не в	3	4
44	его в	1	4
45	дело в	1	4
46	и к	3	4
47	жизни и	4	4
48	самом деле	2	3
49	ясно что	3	3
50	еще не	3	3
51	мы не	9	3
52	и вообще	1	3
53	о том	1	3
54	бы то	1	3
55	точка зрения	1	3
56	быть и	2	3
57	и наконец	5	3
58	все эти	5	3
59	только на	1	3
60	конечно не	1	3
61	в себе	3	3
62	он должен	2	3
63	и по	2	3
64	то ни	2	3
65	до сих	1	3
66	ни в	1	3
67	в некоторых	2	3
68	и пр	2	3
69	так же	1	3
70	в такой	1	3
71	тем не	2	3
72	и более	1	3
73	по себе	1	3
74	сих пор	1	3
75	не менее	2	3
76	все это	3	3
77	но для	1	3
78	и для	1	3
79	это как	1	3
80	с ним	1	3
81	но тем	1	2
82	те же	1	2
83	мы имеем	1	2
84	мы в	1	2
85	и та	1	2
86	настоящее время	2	2
87	с его	1	2
88	но мы	3	2
89	и что	2	2
90	между собой	3	2
91	но конечно	1	2
92	данном случае	1	2
93	в данном	1	2
94	в его	2	2
95	подчеркнуть что	1	2
96	независимо от	1	2
97	в своем	1	2
98	кроме того	1	2
99	метод в	1	2
100	в какой	1	2
101	и потому	3	2
102	в настоящее	2	2
103	с одной	2	2
104	уже в	3	2
105	и те	1	2
106	он не	1	2
107	в корне	1	2
108	допустим что	1	2
109	в зависимости	4	2
110	мы можем	6	2
