N	3gram	Nazirov_Tv_2	OGranits
1	не может быть	3	4
2	по отношению к	3	3
3	в г в	1	2
4	в самом деле	2	2
5	художественного произведения как	1	2
6	с другой стороны	2	2
7	того или иного	1	2
8	ничего общего с	1	2
9	с самого начала	1	2
10	в том что	2	2
11	в другом месте	1	1
12	том что в	1	1
13	только потому что	1	1
14	в чем же	1	1
15	в виду что	1	1
16	и не может	2	1
17	в отличие от	2	1
18	нет и не	1	1
19	только то что	1	1
20	нужно сказать что	1	1
21	можно было бы	1	1
22	в черновых набросках	1	1
23	то или иное	1	1
24	так же как	2	1
25	в связи с	1	1
26	может быть понята	1	1
27	потому что они	1	1
28	то же время	7	1
29	мы не можем	1	1
30	и никогда не	1	1
31	и превращается в	1	1
32	но в то	1	1
33	в конечном счете	1	1
34	этот момент как	1	1
35	на всем протяжении	1	1
36	в то же	7	1
37	в предисловии к	1	1
38	как и в	1	1
