N	2gram	Bakhtin_Fr_5	DiskursI
1	в себе	1	19
2	при этом	2	17
3	в этом	14	16
4	как и	10	16
5	и в	45	16
6	в качестве	2	16
7	может быть	2	16
8	и не	15	15
9	а не	4	14
10	отличие от	2	12
11	то есть	25	12
12	в отличие	2	12
13	и т.п	16	12
14	в частности	1	12
15	но в	14	11
16	в мире	1	11
17	но и	10	11
18	не только	14	10
19	том что	7	10
20	своего рода	4	10
21	так и	6	9
22	не может	5	9
23	как в	3	8
24	в том	10	8
25	а также	4	8
26	но не	4	7
27	в данном	2	7
28	в рамках	1	7
29	в нем	10	7
30	ни в	3	7
31	не менее	3	7
32	при всей	1	7
33	прежде всего	10	7
34	то же	11	6
35	еще не	1	6
36	с его	7	6
37	данном случае	2	6
38	себя в	1	6
39	все же	2	6
40	в своей	3	6
41	и на	5	5
42	в своем	11	5
43	в то	11	5
44	нового времени	1	5
45	хвала и	1	5
46	же время	9	5
47	что в	12	5
48	для него	3	5
49	то что	2	5
50	по отношению	1	4
51	в этой	6	4
52	роль в	2	4
53	человека в	1	4
54	в основе	4	4
55	потому что	7	4
56	этом отношении	5	4
57	о том	4	4
58	в пределах	2	4
59	времени в	1	4
60	одно из	2	4
61	в одном	3	4
62	как бы	12	4
63	мира и	8	4
64	точки зрения	4	4
65	в период	2	4
66	к этому	2	4
67	отношению к	1	4
68	можно назвать	1	4
69	также и	7	3
70	например в	5	3
71	в строгом	1	3
72	и ее	1	3
73	принадлежит к	1	3
74	проявляется в	1	3
75	столь же	1	3
76	к жизни	1	3
77	перед нами	4	3
78	и как	5	3
79	и наконец	2	3
80	все эти	5	3
81	всей своей	1	3
82	из этих	3	3
83	он не	6	3
84	подход к	1	3
85	в другом	3	3
86	с позиций	1	3
87	его в	5	3
88	это не	3	3
89	жизни но	1	3
90	одного и	1	3
91	в котором	1	3
92	не столько	2	3
93	не в	7	3
94	мире и	1	3
95	той или	1	3
96	приводит к	1	3
97	еще в	2	3
98	в его	13	3
99	но она	3	3
100	только в	4	3
101	и его	13	3
102	из них	1	3
103	в них	6	3
104	или иной	1	3
105	здесь в	4	3
106	не было	3	3
107	не знает	1	3
108	мира в	1	3
109	было в	1	3
110	как будто	1	3
111	можно сказать	2	3
112	но это	5	3
113	и того	1	3
114	в пределе	3	3
115	и все	7	3
116	жизни в	2	3
