N	4gram	Voloshinov_1	Literetu
1	в то же время	1	5
2	дело в том что	4	2
3	эти и подобные им	2	1
4	какой бы то ни	1	1
5	со специфической социальной структурой	1	1
6	между людьми лишь отраженные	1	1
7	события со специфической социальной	1	1
8	художественного события со специфической	1	1
9	отношения между людьми лишь	1	1
10	бы то ни было	3	1
11	людьми лишь отраженные и	1	1
12	и закрепленные в словесном	1	1
13	но в то же	1	1
14	отраженные и закрепленные в	1	1
15	все более и более	1	1
16	одним и тем же	1	1
17	закрепленные в словесном материале	1	1
18	лишь отраженные и закрепленные	1	1
19	то же время не	1	1
