N	2gram	Savitsky_P_1	Istorich
1	и в	14	25
2	вместе с	1	22
3	и т	3	20
4	т д	1	18
5	может быть	5	17
6	т е	3	16
7	не только	17	13
8	но и	6	13
9	в его	2	12
10	и не	12	11
11	в этом	10	10
12	все же	1	10
13	его в	1	9
14	в виде	2	9
15	с другой	5	9
16	еще не	1	8
17	и на	1	8
18	что в	4	8
19	и что	1	8
20	мы видим	1	8
21	мы знаем	1	8
22	с тем	3	8
23	другой стороны	1	8
24	том что	4	8
25	представляет собой	1	7
26	в нем	3	7
27	а затем	1	7
28	как и	1	7
29	потому что	3	7
30	и здесь	1	7
31	то что	4	7
32	только в	7	7
33	с одной	3	7
34	в качестве	9	7
35	одной стороны	3	7
36	в иной	1	7
37	в частности	2	7
38	знаем что	1	6
39	это не	3	6
40	не может	4	6
41	в этих	1	6
42	не в	5	6
43	что и	1	6
44	там где	1	6
45	себя в	1	6
46	прежде всего	3	6
47	могут быть	3	6
48	в том	9	6
49	например в	2	5
50	ясно что	1	5
51	мы не	3	5
52	в ней	6	5
53	но не	3	5
54	с этим	2	5
55	что это	1	5
56	живет в	1	5
57	не будем	2	5
58	к небу	1	5
59	так же	1	5
60	для нас	2	5
61	же как	1	4
62	и это	2	4
63	то же	9	4
64	в ее	2	4
65	в истории	1	4
66	в которой	1	4
67	не как	1	4
68	что все	1	4
69	на этой	1	4
70	и тем	2	4
71	не менее	2	4
72	все еще	1	4
73	совершенно ясно	1	4
74	в пределах	8	4
75	наряду с	3	4
76	в основном	1	4
77	все это	2	4
78	мы должны	4	4
79	также что	1	3
80	в которых	5	3
81	на себя	1	3
82	что его	1	3
83	если в	2	3
84	и как	3	3
85	в этой	1	3
86	только один	1	3
87	в жертву	1	3
88	в ином	1	3
89	в то	7	3
90	в русской	4	3
91	друг друга	1	3
92	ей в	3	3
93	для того	3	3
94	что при	1	3
95	представляют собой	1	3
96	того чтобы	1	3
97	в себя	1	3
98	никогда не	1	3
99	и с	2	3
100	он живет	1	3
101	и пр	5	3
102	в европе	2	3
103	над ним	1	3
104	в данном	1	3
105	в свете	1	3
106	а в	4	3
107	они не	1	3
108	вопрос о	1	2
109	мы и	1	2
110	как таковые	1	2
111	время в	2	2
112	в различных	1	2
113	во всех	2	2
114	уже в	1	2
115	на то	1	2
116	связанные с	1	2
117	друг с	1	2
118	и по	1	2
119	и других	2	2
120	и мы	2	2
121	в это	1	2
122	из нее	1	2
123	точки зрения	3	2
124	прийти к	1	2
125	бы мы	1	2
126	по себе	4	2
127	она не	1	2
128	тогда когда	1	2
129	одна из	2	2
130	идут от	1	2
131	где уже	1	2
132	в некотором	1	2
133	с другом	1	2
134	должен быть	1	2
135	на нее	1	2
136	особенно в	1	2
137	еще в	1	2
138	что от	1	2
139	если бы	4	2
140	находится в	1	2
141	же в	4	2
142	в которую	2	2
143	того что	2	2
144	в формах	1	2
145	богом и	1	2
146	именно на	1	2
147	из них	2	2
148	мы можем	1	2
149	в других	1	2
150	из двух	1	2
151	со стороны	2	2
152	и быть	1	2
153	но есть	1	2
154	а не	2	2
155	с которым	1	2
156	что мы	3	2
157	в одно	1	2
158	что во	1	2
159	и потому	4	2
