N	2gram	Savitsky_E_1	Problemy
1	и в	37	34
2	и не	14	29
3	как бы	6	27
4	в его	2	22
5	в нем	1	19
6	может быть	6	19
7	не может	9	19
8	и все	2	19
9	как и	7	18
10	в этом	12	16
11	но в	14	16
12	и его	1	16
13	он не	2	15
14	и с	2	15
15	прежде всего	9	15
16	то же	15	14
17	к нему	2	14
18	для него	1	13
19	и к	3	12
20	в то	16	12
21	же время	14	12
22	потому что	3	12
23	но и	14	12
24	т е	9	12
25	вовсе не	6	11
26	то что	6	11
27	не только	18	10
28	слова и	1	10
29	не в	5	9
30	в отношении	32	9
31	а не	2	9
32	и т	1	8
33	никогда не	3	8
34	с ним	1	8
35	в самом	4	8
36	так же	9	8
37	что же	2	8
38	и для	3	8
39	точки зрения	23	8
40	как будто	2	7
41	как мы	5	7
42	и даже	6	7
43	что не	1	7
44	с которым	1	7
45	там где	3	7
46	этого слова	1	7
47	все же	1	7
48	отношении к	15	7
49	что в	21	7
50	и на	6	6
51	с его	1	6
52	в пределах	25	6
53	от себя	1	6
54	для себя	1	6
55	так и	10	6
56	в себе	9	6
57	только в	9	6
58	с ними	1	6
59	на них	2	5
60	он сам	2	5
61	по отношению	1	5
62	и наконец	2	5
63	что это	2	5
64	но все	1	5
65	лишь в	1	5
66	с тем	3	5
67	даже в	4	5
68	таким образом	2	5
69	к тому	8	5
70	и сам	1	5
71	и что	2	5
72	что и	3	5
73	того что	7	5
74	из них	3	5
75	всяком случае	3	5
76	в одном	2	5
77	дело идет	2	5
78	и от	3	5
79	мы должны	2	5
80	хотя бы	15	5
81	а в	2	5
82	во всяком	3	5
83	с таким	1	4
84	бы то	4	4
85	но не	5	4
86	но как	2	4
87	как в	3	4
88	бы и	3	4
89	он в	1	4
90	все эти	1	4
91	но на	3	4
92	на его	1	4
93	при этом	1	4
94	на этом	1	4
95	то ни	4	4
96	что все	2	4
97	в мире	2	4
98	с другими	2	4
99	этом смысле	3	4
100	рядом с	1	4
101	с точки	17	4
102	но это	1	4
103	друг другу	1	4
104	и это	1	4
105	если бы	2	4
106	на вопрос	1	4
107	его мысль	1	4
108	и прежде	3	4
109	в виде	5	4
110	в начале	1	4
111	в общем	3	4
112	так как	7	4
113	не о	1	4
114	с другой	7	4
115	тем что	3	4
116	вместе с	2	4
117	ни было	4	4
118	в такой	1	3
119	и то	2	3
120	ведь и	2	3
121	говорить о	1	3
122	в ней	4	3
123	что его	1	3
124	в одной	1	3
125	хотя и	2	3
126	и как	2	3
127	уже в	1	3
128	не как	1	3
129	далеко не	2	3
130	мы видели	3	3
131	должно быть	1	3
132	такой же	2	3
133	в своей	8	3
134	в котором	2	3
135	не менее	1	3
136	по себе	4	3
137	что с	1	3
138	том что	6	3
139	во всем	1	3
140	есть только	1	3
141	с ее	1	3
142	в ее	8	3
143	еще в	1	3
144	для этого	1	3
145	сводится к	1	3
146	и во	2	3
147	между тем	8	3
148	к концу	1	3
149	но так	1	3
150	в том	11	3
151	большинстве случаев	3	3
152	по своему	7	3
153	если не	1	3
154	бы в	2	3
155	его к	1	3
156	другой стороны	2	3
157	жизни и	2	3
158	например в	1	2
159	себя как	1	2
160	сам и	1	2
161	и этот	2	2
162	той же	1	2
163	о выборе	1	2
164	и тут	2	2
165	та же	1	2
166	того же	3	2
167	почти на	1	2
168	в которых	3	2
169	столь же	5	2
170	во всех	6	2
171	в сторону	2	2
172	отличие от	1	2
173	за пределы	1	2
174	с этим	2	2
175	в своем	14	2
176	когда он	3	2
177	увидим что	1	2
178	в этот	1	2
179	бы с	1	2
180	еще далеко	1	2
181	в большинстве	2	2
182	тому же	1	2
183	вообще не	3	2
184	т д	1	2
185	всех этих	1	2
186	пределах одного	1	2
187	и если	2	2
188	друг с	3	2
189	бы они	1	2
