N	3gram	Berdyaev_O_1	DiskursI
1	в том что	1	6
2	как и в	1	5
3	в этом отношении	1	4
4	о том что	1	3
5	и все же	1	3
6	не может быть	2	3
7	и прежде всего	1	2
8	в этом мире	2	2
9	и не может	1	2
10	и то что	1	2
11	по природе своей	1	2
12	заключает в себе	1	2
13	прежде всего в	1	1
14	том что в	1	1
15	в другом месте	1	1
16	в этот период	1	1
17	прежде всего он	1	1
18	как будто бы	1	1
19	то что в	1	1
20	не могут быть	2	1
21	в самом деле	1	1
22	потому что в	1	1
23	и не быть	1	1
24	не в том	1	1
25	приходит в голову	1	1
26	во всяком случае	1	1
27	в иных случаях	1	1
