N	2gram	Nazirov_Tv_1	FransuaR
1	и в	21	65
2	то есть	12	45
3	как бы	17	22
4	и не	7	22
5	вовсе не	5	18
6	в сущности	1	16
7	в том	7	16
8	в этом	6	15
9	но в	7	14
10	в нем	3	13
11	мы уже	1	12
12	и на	7	11
13	прежде всего	4	11
14	все эти	1	10
15	не только	7	10
16	и его	6	10
17	так и	2	10
18	но и	3	10
19	во всех	1	9
20	в эпоху	1	9
21	в его	13	9
22	все это	10	9
23	форм и	1	9
24	всех этих	1	8
25	в своем	4	8
26	в основе	2	8
27	в духе	2	8
28	культуры и	1	8
29	в дальнейшем	3	8
30	и даже	3	8
31	по своему	1	8
32	и другие	3	8
33	с народной	1	7
34	его в	1	7
35	уже говорили	1	7
36	в области	1	7
37	только в	5	7
38	влияние на	2	7
39	жизни и	3	7
40	на самом	3	6
41	в году	7	6
42	в ней	2	6
43	еще не	1	6
44	все же	5	6
45	и у	2	6
46	при этом	7	6
47	том что	11	6
48	в отношении	1	6
49	никогда не	3	6
50	времени и	4	6
51	в литературе	2	6
52	одно из	1	6
53	так как	3	6
54	может быть	5	6
55	не знает	2	6
56	сказать что	2	6
57	связана с	1	5
58	с его	11	5
59	отличие от	2	5
60	как в	8	5
61	на протяжении	3	5
62	в них	1	5
63	мировой литературы	1	5
64	как и	12	5
65	в своей	4	5
66	между людьми	2	5
67	потому что	5	5
68	между тем	1	5
69	для него	6	5
70	в одном	1	5
71	превращается в	1	5
72	связь с	1	5
73	в частности	2	5
74	xix века	6	5
75	и все	6	5
76	еще более	2	5
77	в своих	5	5
78	жизни в	6	5
79	xvii века	1	4
80	и до	1	4
81	и к	1	4
82	в самом	3	4
83	в этой	5	4
84	так сказать	2	4
85	на всю	1	4
86	во время	1	4
87	в их	3	4
88	в отличие	2	4
89	мысли и	4	4
90	не в	2	4
91	до сих	1	4
92	и искусства	1	4
93	шекспира и	1	4
94	можно только	1	4
95	связи с	1	4
96	в жизни	2	4
97	из них	2	4
98	сих пор	1	4
99	это уже	5	4
100	это как	3	4
101	это в	3	4
102	карнавального мироощущения	1	4
103	самом деле	2	3
104	мировой литературе	1	3
105	связанный с	1	3
106	в себя	2	3
107	уже не	3	3
108	но все	1	3
109	то что	8	3
110	в себе	2	3
111	но на	1	3
112	перестает быть	1	3
113	европейской культуры	1	3
114	и с	3	3
115	на этой	1	3
116	и других	3	3
117	это не	4	3
118	весь мир	1	3
119	далеко не	3	3
120	в ее	1	3
121	он и	1	3
122	пародия на	1	3
123	отрыве от	1	3
124	но это	5	3
125	даже в	3	3
126	преимущественно в	1	3
127	и тела	1	3
128	и здесь	1	3
129	картине мира	1	3
130	не могут	1	3
131	сама жизнь	1	3
132	сквозь призму	1	3
133	в виду	2	3
134	с ним	3	3
