N	3gram	Berdyaev_M_1	Vladivir
1	вл соловьева в	1	20
2	в том что	1	9
3	во всяком случае	1	6
4	в то время	2	6
5	в отличие от	1	3
6	не в том	1	3
7	в конце концов	2	3
8	о том что	1	3
9	ко всему этому	1	2
10	можно было бы	1	2
11	никогда не был	2	2
12	он никогда не	2	2
13	не только в	2	2
14	человек не может	2	2
15	так и не	1	2
16	он уже не	2	2
17	с обычной точки	1	1
18	что иное как	1	1
19	не может не	2	1
20	и в конце	2	1
21	и он был	1	1
22	потому что в	3	1
23	яснее и проще	1	1
24	он не только	2	1
25	он не может	2	1
26	они не могут	1	1
27	до сих пор	2	1
28	было для него	1	1
29	у него не	1	1
30	не было бы	5	1
31	вместе с тем	5	1
32	может быть и	1	1
33	его личности и	1	1
34	в своем отношении	1	1
35	в них нет	2	1
36	до конца и	1	1
37	в высшей степени	2	1
38	было бы и	1	1
39	был не только	1	1
40	обычной точки зрения	1	1
41	то время как	2	1
42	своем отношении к	1	1
43	был и оставался	1	1
44	это было уже	1	1
45	он пишет в	1	1
46	них нет ничего	1	1
47	и в том	1	1
48	не может быть	17	1
49	может быть названа	1	1
50	у него до	1	1
51	имел в виду	1	1
52	я хотел бы	2	1
53	все это нужно	1	1
54	него не было	2	1
55	это значит что	3	1
56	в самом деле	1	1
57	он был в	1	1
58	нужно сказать что	1	1
59	уже не только	2	1
60	для нас в	1	1
61	но это не	1	1
62	не что иное	1	1
63	чем он сам	1	1
64	и в нем	3	1
65	для того чтобы	2	1
66	в себе в	1	1
