N	2gram	Voloshinov_1	IolandNe
1	и с	8	3
2	и не	4	2
3	в этом	9	2
4	он не	2	2
5	ничего не	1	2
6	не утверждал	1	2
7	что в	3	2
8	только что	1	1
9	что для	1	1
10	все эти	5	1
11	то и	1	1
12	точно и	1	1
13	с другой	1	1
14	для него	6	1
15	того чтобы	1	1
16	и о	2	1
17	говорить о	2	1
18	не слишком	1	1
19	не дает	1	1
20	что при	1	1
21	тех же	3	1
22	от нее	1	1
23	и та	1	1
24	к отцу	6	1
25	это было	1	1
26	так и	4	1
27	и со	1	1
28	а для	1	1
29	в основе	3	1
30	жизни и	3	1
31	себя в	1	1
32	и сам	1	1
33	по поводу	1	1
34	этим и	1	1
35	если бы	1	1
36	того же	2	1
37	от этого	1	1
38	а с	1	1
39	ненависть к	2	1
40	и еще	1	1
41	и чрезвычайно	1	1
42	только для	5	1
43	для того	1	1
44	нам в	1	1
45	а в	3	1
46	и в	16	1
47	с любым	1	1
48	не случайно	1	1
49	в эту	1	1
50	все это	4	1
51	со всеми	2	1
52	и др	3	1
53	его ученики	3	1
54	я не	1	1
55	о ней	1	1
56	никогда не	2	1
57	в них	2	1
58	художественного творчества	4	1
