N	3gram	Propp_Russ_2	Dialekti
1	и т д	5	23
2	тем не менее	2	10
3	что иное как	2	6
4	т е что	1	6
5	не что иное	2	6
6	не может быть	3	6
7	о том что	4	5
8	подобно тому как	3	4
9	т е в	5	4
10	т е не	1	4
11	в то время	2	4
12	то время как	1	4
13	только тогда когда	3	3
14	с одной стороны	2	3
15	как и в	1	3
16	на то что	1	3
17	в том что	18	3
18	мы не можем	2	2
19	это и есть	1	2
20	так же как	4	2
21	не было ни	1	2
22	и в этом	1	2
23	с другой стороны	1	2
24	из того что	1	2
25	во всяком случае	1	2
26	иметь в виду	1	2
27	факты как например	1	1
28	все то же	1	1
29	том что в	1	1
30	быть не только	1	1
31	необходимо решить вопрос	1	1
32	в таком виде	2	1
33	христианского учения о	1	1
34	что каждый из	1	1
35	и в том	1	1
36	но может быть	1	1
37	потому что в	1	1
38	нас в данном	1	1
39	животных и т	1	1
40	и в таком	1	1
41	и все это	1	1
42	того или другого	1	1
43	показывает что в	1	1
44	так что в	1	1
45	во многих местах	1	1
46	а иногда и	1	1
47	более или менее	1	1
48	ничего не говорится	1	1
49	именно тогда когда	1	1
50	в применении к	1	1
51	может быть только	2	1
52	кто во что	1	1
53	в христианской религии	1	1
54	можно понимать как	1	1
55	нас к необходимости	1	1
56	как одна из	1	1
57	получается так что	1	1
58	он был бы	1	1
59	виду что все	1	1
60	в виду что	1	1
61	же как и	2	1
62	в такой же	1	1
63	но в особенности	1	1
64	в этом отношении	1	1
65	не отличаются от	1	1
66	а так как	1	1
67	но так как	1	1
68	во всем этом	1	1
69	в данном случае	6	1
70	и таким образом	1	1
71	чем в других	1	1
