N	2gram	Tiupa_Teor_1	Tragedij
1	и в	18	18
2	в романе	3	10
3	в году	1	9
4	в этом	8	9
5	не только	16	8
6	и на	1	7
7	может быть	17	7
8	как бы	5	7
9	и не	13	7
10	но в	9	6
11	и его	8	6
12	же время	5	6
13	что он	1	6
14	у него	1	6
15	то же	7	5
16	что это	1	5
17	это не	2	5
18	как и	4	5
19	в то	6	5
20	так и	10	5
21	не может	4	5
22	к жизни	2	5
23	я не	2	4
24	еще не	4	4
25	в себе	9	4
26	в целом	3	4
27	что достоевский	1	4
28	в этой	3	4
29	в нем	4	4
30	об этом	2	4
31	том что	9	4
32	и что	3	4
33	но и	9	4
34	и даже	2	4
35	прежде всего	2	4
36	так же	2	4
37	все это	2	4
38	что в	9	4
39	то что	3	4
40	в мире	19	3
41	своего рода	7	3
42	отнюдь не	3	3
43	как в	5	3
44	в своем	4	3
45	и как	2	3
46	все эти	2	3
47	при этом	12	3
48	то есть	12	3
49	должно быть	1	3
50	тем самым	4	3
51	о чем	1	3
52	в поле	1	3
53	с ее	3	3
54	и сам	1	3
55	мог бы	3	3
56	жизнь и	1	3
57	к нему	1	3
58	в его	6	3
59	один из	2	3
60	для него	2	3
61	никто не	2	3
62	в конце	2	3
63	как будто	2	3
64	как это	8	3
65	ивана карамазова	1	2
66	в первом	2	2
67	и до	1	2
68	из своих	1	2
69	никогда не	4	2
70	и то	2	2
71	другим в	1	2
72	столь же	2	2
73	с его	5	2
74	ее к	1	2
75	отношение к	5	2
76	отличие от	6	2
77	так что	1	2
78	и я	1	2
79	как говорит	3	2
80	о жизни	1	2
81	перед нами	2	2
82	говорит что	2	2
83	я к	1	2
84	имеет в	2	2
85	в самом	4	2
86	жизнью и	1	2
87	он не	3	2
88	что она	2	2
89	что все	1	2
90	его в	2	2
91	дома и	2	2
92	в это	1	2
93	к области	2	2
94	ни в	2	2
95	нет в	1	2
96	с тем	1	2
97	поведение в	1	2
98	в ходе	4	2
99	в отличие	6	2
100	вопрос о	1	2
101	но эта	1	2
102	не в	7	2
103	в русском	1	2
104	не могут	2	2
105	его за	1	2
106	к тому	2	2
107	и это	2	2
108	в ее	5	2
109	данном случае	5	2
110	как у	1	2
111	и здесь	2	2
112	о том	1	2
113	в глаза	2	2
114	времени в	2	2
115	что и	2	2
116	в том	16	2
117	даже если	1	2
118	который в	2	2
119	между этими	1	2
120	и ее	3	2
121	уже не	4	2
122	он отчасти	1	2
123	в душе	8	2
124	в известной	1	2
125	в одном	2	2
126	не случайно	5	2
127	на меня	3	2
128	тем что	1	2
129	только к	1	2
130	говорит о	1	2
131	в рассказе	2	2
132	для искусства	2	2
133	в данном	8	2
134	о его	1	2
135	это уже	1	2
136	от всего	1	2
137	потому что	3	2
138	личности и	4	2
139	со мной	1	2
140	в частности	16	2
141	только о	1	2
142	по поводу	1	2
143	точно так	1	2
144	я и	2	1
145	а между	1	1
146	ту же	1	1
147	также что	1	1
148	одним из	2	1
149	например в	1	1
150	с жизнью	1	1
151	человека и	1	1
152	он показывает	1	1
153	и др	1	1
154	на деле	2	1
155	последней главе	1	1
156	на две	3	1
157	исходит из	1	1
158	той же	1	1
159	собой как	1	1
160	и гордости	1	1
161	не вполне	2	1
162	на себя	2	1
163	в виду	5	1
164	подчеркнуть что	1	1
165	представляет собой	9	1
166	между собой	3	1
167	и служит	1	1
168	позицию по	1	1
169	в чем	1	1
170	и мира	2	1
171	во всех	1	1
172	но не	9	1
173	могло быть	2	1
174	но как	1	1
175	свою жизнь	2	1
176	тогда как	15	1
177	за пределы	2	1
178	писателя в	1	1
179	глаза ее	1	1
180	в центре	1	1
181	человеческая личность	1	1
182	дается в	1	1
183	неизмеримо более	1	1
184	силе и	1	1
185	раз необходимо	1	1
186	именно эта	1	1
187	добро и	1	1
188	то в	2	1
189	со своей	3	1
190	в которой	2	1
191	сливается с	1	1
192	он в	1	1
193	право на	1	1
194	это тот	1	1
195	и создается	1	1
196	говорит не	1	1
197	если он	1	1
198	не могла	1	1
199	жизни ее	1	1
200	эта деталь	1	1
201	роли в	5	1
202	которым человек	1	1
203	к одному	1	1
204	содержит в	1	1
205	этом мире	2	1
206	и по	2	1
207	на этом	1	1
208	таким образом	3	1
209	здесь мы	1	1
210	а затем	1	1
211	является необходимой	1	1
212	в другом	3	1
213	в финале	3	1
214	лишь в	6	1
215	это было	2	1
216	заключается в	2	1
217	в них	2	1
218	всю жизнь	1	1
219	когда я	1	1
220	ведет к	1	1
221	обратимся к	1	1
222	же я	1	1
223	перед собой	1	1
224	но я	1	1
225	в своей	6	1
226	в такой	1	1
227	перед другим	1	1
228	не столько	1	1
229	и некоторыми	1	1
230	есть высшая	2	1
231	значение для	1	1
232	сам же	1	1
233	и вот	3	1
234	но он	3	1
235	тем не	3	1
236	не могли	1	1
237	с такими	1	1
238	открывается в	1	1
239	по себе	1	1
240	тому что	2	1
241	эта встреча	1	1
242	несовместимое с	1	1
243	не менее	4	1
244	она не	1	1
245	на земле	1	1
246	на котором	1	1
247	в эпизоде	3	1
248	иллюзии и	1	1
249	карамазова в	1	1
250	виду не	3	1
251	облекается в	2	1
252	только не	2	1
253	в самой	2	1
254	иными словами	1	1
255	говорит в	2	1
256	и притом	2	1
257	стола и	1	1
258	по своей	3	1
259	и теперь	1	1
260	связи с	1	1
261	смысл этой	1	1
262	хозяина и	1	1
263	входят в	1	1
264	в области	4	1
265	перед ним	1	1
266	в момент	2	1
267	могут быть	4	1
268	глаза в	2	1
269	его с	1	1
270	именно таков	1	1
271	и т.д	3	1
272	всего что	1	1
273	указывает на	1	1
274	части романа	1	1
275	в пьесе	1	1
276	как мы	1	1
277	вещами и	1	1
278	и о	4	1
279	у себя	1	1
280	того чтобы	1	1
281	как система	2	1
282	родного дома	1	1
283	роль в	2	1
284	человека с	2	1
285	с собой	1	1
286	можно было	1	1
287	на нее	1	1
288	начала и	1	1
289	в последней	1	1
290	на них	1	1
291	быть может	1	1
292	ситуации и	1	1
293	это происходит	1	1
294	на вопрос	1	1
295	встреча не	1	1
296	в смерти	1	1
297	под маской	1	1
298	после того	1	1
299	и который	2	1
300	а также	6	1
301	чтобы не	1	1
302	мы понимаем	1	1
303	роман и	2	1
304	восходит к	1	1
305	по слову	1	1
306	это была	1	1
307	между тем	5	1
308	эстетическая позиция	1	1
309	нуждается в	1	1
310	в форме	2	1
311	не сводится	4	1
312	развернута в	1	1
313	о своих	1	1
314	и пусть	1	1
315	в литературе	2	1
316	того что	4	1
317	перед другом	1	1
318	мы видим	1	1
319	с ними	1	1
320	что даже	1	1
321	этом состоит	1	1
322	только в	6	1
323	что ж	1	1
324	с одной	2	1
325	есть в	2	1
326	только на	1	1
327	черт ивана	1	1
328	дело с	1	1
329	свидетельствует о	1	1
330	которых можно	1	1
331	но самое	1	1
332	местом в	1	1
333	и их	1	1
334	слова в	2	1
335	с этими	1	1
336	ее не	1	1
337	к ним	1	1
338	ту сторону	1	1
339	это по	1	1
340	рядом с	1	1
341	в особенности	1	1
342	первый том	1	1
343	на уровне	2	1
344	именно в	3	1
345	что не	1	1
346	не было	1	1
347	полагал что	1	1
348	понимаем что	1	1
349	а на	3	1
350	– в	15	1
351	а не	9	1
352	с которым	1	1
353	одну из	1	1
354	в связи	1	1
355	с помощью	1	1
356	более чем	1	1
357	люди но	3	1
358	о счастье	1	1
359	на новую	1	1
360	о себе	2	1
361	вместе с	2	1
362	и особенно	2	1
363	до этого	1	1
364	и потому	2	1
365	цвет глаз	1	1
366	искусства но	3	1
367	в той	2	1
368	деятельность не	1	1
369	для понимания	2	1
370	этого слова	3	1
371	и от	1	1
372	в условиях	1	1
373	друг перед	1	1
374	и зло	1	1
375	не является	4	1
376	известной степени	3	1
377	тем и	1	1
378	в результате	1	1
379	именно такого	1	1
380	тот кто	2	1
381	в двух	1	1
382	своею и	1	1
383	это может	1	1
384	бы в	1	1
385	но у	1	1
386	я в	16	1
387	пусть пусть	1	1
