N	4gram	Vygotskiy__4	Russkaja
1	в то же время	1	10
2	друг с другом и	2	2
3	и вместе с тем	1	2
4	только для того чтобы	1	1
5	можно было бы показать	1	1
6	и с точки зрения	1	1
7	дело в том что	1	1
8	точно так же как	1	1
9	мы уже знаем что	1	1
10	точно так же и	1	1
11	это то же самое	1	1
12	что ни одна из	1	1
13	сводится к тому что	2	1
14	бы то ни было	1	1
15	было бы показать что	1	1
16	в том что для	1	1
17	заключается в том что	2	1
18	свидетельствуют о том что	1	1
19	речи быть не может	1	1
20	с точки зрения житейской	1	1
