N	3gram	Tiupa_Teor_1	FransuaR
1	то же время	5	8
2	в то же	5	8
3	в большинстве случаев	1	5
4	и в то	1	4
5	более или менее	2	3
6	в том числе	2	3
7	для того чтобы	1	3
8	таким образом и	1	3
9	с другой стороны	5	3
10	в этой системе	2	3
11	подобно тому как	1	3
12	с точки зрения	3	2
13	том числе и	1	2
14	с одной стороны	2	2
15	в то время	1	2
16	о том что	1	2
17	но дело в	1	1
18	можно сказать что	2	1
19	таким образом что	1	1
20	и того же	3	1
21	того же типа	1	1
22	дело в том	1	1
23	то же самое	1	1
24	в одной из	1	1
25	том случае если	1	1
26	до известной степени	2	1
27	а также в	1	1
28	в литературе в	1	1
29	со всех сторон	1	1
30	в том случае	1	1
31	одно и то	1	1
32	как раз в	1	1
33	своему смыслу и	1	1
34	в самом начале	2	1
35	в данном случае	5	1
36	но в то	1	1
37	на первый взгляд	1	1
38	и то же	1	1
39	может быть и	2	1
40	в узком и	1	1
41	в отличие от	6	1
42	а с другой	2	1
43	в связи с	1	1
44	в его лице	1	1
45	в виду что	1	1
46	в полной мере	1	1
47	не может быть	4	1
48	в свою очередь	2	1
49	не случайно они	1	1
50	в конечном счете	6	1
51	одного и того	3	1
52	по своему смыслу	1	1
53	тех или иных	3	1
54	в соответствии с	2	1
55	в том что	8	1
