N	2gram	Propp_Morf_1	Sotsiolo
1	в этом	14	5
2	в том	6	5
3	для нас	2	3
4	более чем	1	3
5	не только	4	3
6	как же	2	3
7	в его	1	3
8	и в	13	3
9	но ведь	1	3
10	не в	3	3
11	только в	2	2
12	может быть	52	2
13	и что	2	2
14	в результате	7	2
15	это и	2	2
16	главным образом	4	2
17	то же	7	2
18	должна быть	1	2
19	было бы	3	2
20	она может	1	2
21	далеко не	5	2
22	таким образом	21	2
23	но и	4	2
24	как будто	2	2
25	метод и	1	2
26	еще не	3	2
27	то что	8	2
28	по отношению	4	2
29	в частности	2	2
30	отношению к	4	2
31	по существу	12	2
32	что в	8	2
33	как бы	3	2
34	том что	4	2
35	дело не	2	2
36	изучения и	1	1
37	и не	12	1
38	и затем	4	1
39	и есть	2	1
40	нет а	1	1
41	в этой	2	1
42	для изучения	1	1
43	в своей	1	1
44	где же	1	1
45	может не	1	1
46	еще и	1	1
47	все эти	2	1
48	и его	1	1
49	не дает	1	1
50	право на	2	1
51	в целом	3	1
52	вряд ли	2	1
53	влияет на	1	1
54	с другой	8	1
55	в сущности	3	1
56	бы они	2	1
57	переходим к	1	1
58	связи с	10	1
59	быть не	1	1
60	что она	2	1
61	в них	1	1
62	в связи	9	1
63	что он	4	1
64	в каждом	1	1
65	для наших	1	1
66	положения в	1	1
67	когда мы	1	1
68	а с	2	1
69	но не	4	1
70	два или	1	1
71	это по	1	1
72	на шею	1	1
73	и более	1	1
74	они ни	1	1
75	но она	1	1
76	вовсе не	4	1
77	все же	7	1
78	между тем	5	1
79	но как	2	1
80	вопросом о	1	1
81	а в	7	1
82	это значит	1	1
83	это не	6	1
84	в то	3	1
85	те же	1	1
86	между собою	2	1
87	не меняет	2	1
88	мы должны	3	1
89	между ними	1	1
90	и наконец	1	1
91	в чем	1	1
92	на первый	3	1
93	в силу	1	1
94	во всяком	2	1
95	в противном	1	1
96	тому что	4	1
97	в него	1	1
98	благодаря этому	3	1
99	еще недостаточно	1	1
100	в этих	13	1
101	том как	1	1
102	у него	1	1
103	как и	3	1
104	эти обобщения	1	1
105	с помощью	1	1
106	настоящее время	3	1
107	на все	1	1
108	в настоящее	3	1
109	мы еще	1	1
110	один из	5	1
111	мы переходим	1	1
112	этого и	1	1
113	и как	5	1
114	же не	1	1
115	какие же	1	1
116	как то	2	1
117	именно и	1	1
118	его в	2	1
119	с одной	1	1
120	о том	2	1
121	же законы	1	1
122	на что	1	1
123	что данный	1	1
124	даже в	1	1
125	или нет	2	1
126	одной стороны	1	1
127	и должны	1	1
128	же самое	1	1
129	вступает в	1	1
130	исторического изучения	1	1
131	их на	1	1
132	пришлось бы	1	1
133	хотя бы	4	1
134	она должна	1	1
135	это дает	1	1
136	дает нам	1	1
137	в таких	2	1
138	и по	2	1
139	ничего не	4	1
140	что это	1	1
141	между собой	4	1
142	на основании	1	1
143	на этот	1	1
144	мы не	8	1
145	не может	14	1
146	два типа	1	1
147	нашей работы	2	1
148	перейти к	2	1
149	даже не	3	1
150	прежде всего	9	1
151	они не	1	1
152	противном случае	1	1
153	не от	2	1
154	всяком случае	2	1
155	можно будет	1	1
156	или не	3	1
157	не место	1	1
158	тем что	4	1
159	что эти	2	1
160	так и	6	1
161	в данном	1	1
162	в виде	2	1
163	только для	1	1
164	перед нами	10	1
165	ни были	1	1
166	наука о	2	1
167	в области	1	1
