N	3gram	Voloshinov_1	VeschiIm
1	не может быть	2	18
2	что иное как	2	8
3	не что иное	2	8
4	по крайней мере	1	6
5	в том что	1	6
6	одно и то	3	5
7	содержит в себе	1	5
8	и то же	3	5
9	есть не что	2	5
10	в свою очередь	4	5
11	тем не менее	1	5
12	с точки зрения	5	4
13	не только в	3	4
14	то же время	7	4
15	в то же	9	4
16	более или менее	1	3
17	в самом деле	1	3
18	и не только	2	3
19	и в то	2	3
20	в собственном смысле	1	3
21	можно было бы	1	3
22	вместе с тем	2	3
23	если мы возьмем	1	3
24	само по себе	1	3
25	не может не	1	2
26	можно сказать что	2	2
27	а затем и	1	2
28	но то что	1	2
29	но даже и	1	2
30	ничто не мешает	1	2
31	ничего не значит	1	2
32	если не будет	1	2
33	что же такое	2	2
34	ни от чего	1	2
35	к тому что	2	2
36	и того же	1	1
37	и тому же	1	1
38	тот же самый	1	1
39	представим себе что	1	1
40	только потому что	2	1
41	когда мы говорили	1	1
42	прежде всего на	1	1
43	что это значит?	1	1
44	и есть не	1	1
45	в этом случае	3	1
46	у нас есть	1	1
47	как раз и	1	1
48	почему же мы	1	1
49	до сих пор	1	1
50	уже в самой	1	1
51	и во всех	1	1
52	и не может	1	1
53	тот или иной	1	1
54	в зависимости от	5	1
55	в той же	3	1
56	с кем и	1	1
57	так и останется	1	1
58	в себе и	1	1
59	реально существует и	1	1
60	ни в какой	1	1
61	хотя бы и	1	1
62	является не просто	1	1
63	или хотя бы	2	1
64	имя может стать	1	1
65	но в то	2	1
66	и это чрезвычайно	1	1
67	мы не знаем	2	1
68	и когда происходит	1	1
69	в конце концов	3	1
70	смысле этого слова	2	1
71	мы будем говорить	2	1
72	что у них	1	1
73	и в этом	1	1
74	тех или других	1	1
75	и как бы	1	1
76	даже и в	1	1
77	не мешает нам	1	1
78	в качестве одного	1	1
79	внутренней и внешней	3	1
80	тем же самым	1	1
81	из всего предыдущего	1	1
82	же точно образом	1	1
83	с другой стороны	1	1
84	на вопрос о	1	1
85	но почему же	1	1
86	и все же	1	1
87	в одном и	1	1
88	мы не можем	1	1
89	только одна из	1	1
90	о том что	2	1
91	хотя бы в	1	1
92	таким же точно	1	1
93	не только не	1	1
94	вопрос о том	1	1
95	на то или	1	1
96	к одному и	1	1
97	именно потому что	1	1
98	но все же	2	1
99	на гораздо более	1	1
100	бы в этом	1	1
101	одного и того	1	1
102	присмотримся ближе к	1	1
103	для того чтобы	7	1
104	являются не просто	1	1
105	не есть какое-то	1	1
106	мы видим что	2	1
107	тех или иных	3	1
108	ее не только	1	1
109	без всякого сомнения	1	1
110	что было в	2	1
111	одному и тому	1	1
112	только тогда когда	1	1
