N	2gram	Medvedev_S_1	EvropaiE
1	и в	3	37
2	что в	2	21
3	не только	3	18
4	в то	1	16
5	то же	2	15
6	хотя бы	1	15
7	же время	1	14
8	но и	2	14
9	и не	1	14
10	в этом	5	12
11	в области	1	11
12	в том	5	11
13	так и	1	10
14	отнюдь не	1	9
15	только в	2	9
16	прежде всего	1	9
17	не может	1	9
18	в смысле	2	9
19	было бы	2	8
20	в своей	1	8
21	между тем	1	8
22	с одной	1	8
23	одной стороны	1	8
24	с другой	1	7
25	как и	1	7
26	может быть	2	6
27	том что	2	6
28	вовсе не	1	6
29	как бы	2	6
30	то что	2	6
31	столь же	1	5
32	но не	1	5
33	не в	3	5
34	и по	1	5
35	в виде	1	5
36	в частности	2	5
37	и потому	1	5
38	мы не	1	4
39	как совокупность	1	4
40	даже в	1	4
41	в процессе	1	4
42	по себе	1	4
43	тем более	2	4
44	именно в	1	4
45	для нас	3	4
46	время в	1	3
47	не дает	1	3
48	и мы	2	3
49	в них	1	3
50	никогда не	1	3
51	о том	1	3
52	место в	1	3
53	и только	3	3
54	всяком случае	1	3
55	не из	1	3
56	очевидно что	2	3
57	тем что	1	3
58	ни на	1	3
59	в данном	1	3
60	в результате	2	3
61	во всяком	1	3
62	что эти	1	2
63	должна быть	2	2
64	между собой	1	2
65	а тем	1	2
66	но как	1	2
67	друг от	1	2
68	в свои	1	2
69	более чем	3	2
70	и как	1	2
71	что это	1	2
72	в этой	1	2
73	главным образом	2	2
74	но именно	1	2
75	в силу	1	2
76	таким образом	2	2
77	это значит	1	2
78	в мире	1	2
79	далеко не	2	2
80	иначе говоря	1	2
81	в этих	1	2
82	в котором	1	2
83	бы о	1	2
84	и более	1	2
85	как будто	2	2
86	что на	1	2
87	от друга	1	2
88	и что	2	2
89	в его	3	2
90	мы должны	1	2
91	его собственная	1	2
92	как же	3	2
93	на основании	1	2
94	на этот	1	2
95	что все	1	2
96	бы в	1	2
97	и наконец	1	2
98	а в	1	2
99	между ними	1	2
100	же по	1	1
101	противном случае	1	1
102	на тех	1	1
103	когда мы	1	1
104	не способен	1	1
105	любой области	1	1
106	его построения	1	1
107	по отношению	2	1
108	способен ни	1	1
109	и будет	1	1
110	за пределы	2	1
111	дает нам	1	1
112	все же	1	1
113	в противном	1	1
114	психологии и	1	1
115	как то	1	1
116	чуть ли	1	1
117	что автор	1	1
118	вне пределов	1	1
119	ли не	1	1
120	бы они	1	1
121	их на	1	1
122	именно и	1	1
123	для этого	1	1
124	тому что	1	1
125	входящие в	1	1
126	все эти	1	1
127	и его	1	1
128	связи с	1	1
129	и о	1	1
130	мы думаем	1	1
131	следующий вывод	1	1
132	литературы и	2	1
133	те же	1	1
134	по природе	2	1
135	с ним	1	1
136	это зависит	2	1
137	тех кто	1	1
138	может не	1	1
139	не выходит	1	1
140	связь между	1	1
141	из себя	1	1
142	эти два	1	1
143	которая должна	1	1
144	в лучшем	1	1
145	один из	1	1
146	же законы	1	1
147	может она	1	1
148	конечно не	1	1
149	только тогда	1	1
150	представить себе	1	1
151	выходит за	1	1
152	даже не	1	1
153	к которому	2	1
154	и затем	1	1
155	не было	1	1
156	в любой	1	1
157	зависит от	1	1
158	в связи	1	1
159	лучшем случае	1	1
160	она может	2	1
161	пришлось бы	1	1
162	констатирования факта	1	1
163	будет тем	1	1
164	понимать что	1	1
