N	3gram	Bakhtin_Fr_4	Stilisti
1	в то же	8	9
2	то же время	8	7
3	для того чтобы	3	7
4	с точки зрения	2	5
5	и то же	1	4
6	то же самое	1	4
7	одно и то	1	4
8	в свою очередь	1	4
9	с самого начала	3	4
10	на самом деле	1	3
11	в той же	1	3
12	но и в	3	3
13	не только в	2	3
14	в конце концов	4	3
15	как мы уже	5	3
16	и т.п и	1	3
17	как мы видели	2	3
18	само собой разумеется	1	2
19	и в то	4	2
20	как мы увидим	1	2
21	в этом отношении	1	2
22	но в то	1	2
23	мы не знаем	1	2
24	на первый взгляд	1	2
25	смысле этого слова	1	2
26	и на его	1	2
27	то же слово	1	2
28	не может быть	1	2
29	в разных местах	2	2
30	и как бы	1	2
31	о том что	2	2
32	можно сказать что	1	2
33	в связи с	1	2
34	мы видим что	1	2
35	тех или иных	1	2
36	мы видели что	1	2
37	и того же	1	1
38	до наших дней	2	1
39	нет и не	1	1
40	и к тому	1	1
41	более или менее	3	1
42	о которой мы	1	1
43	до сих пор	1	1
44	выражений заимствованных из	1	1
45	из них в	1	1
46	по мере их	1	1
47	слов и выражений	2	1
48	нужно отметить что	3	1
49	в большинстве случаев	5	1
50	мы увидим дальше	1	1
51	в нашем смысле	1	1
52	на площади в	1	1
53	тем что он	1	1
54	теперь мы можем	1	1
55	из многочисленных форм	1	1
56	но даже и	1	1
57	в виду что	1	1
58	так и от	1	1
59	все сказанное нами	1	1
60	влияние и на	1	1
61	таким образом в	3	1
62	и так называемые	1	1
63	даже и в	1	1
64	людей но в	1	1
65	из них были	1	1
66	но в этой	1	1
67	черт знает что	1	1
68	речи и как	1	1
69	в конечном счете	1	1
70	и не может	1	1
71	их как бы	1	1
72	с другой стороны	3	1
73	одного и того	1	1
74	сказать что вся	1	1
75	же как мы	1	1
76	мы уже знаем	1	1
77	в том что	1	1
78	в разговоре с	1	1
