N	2gram	Vinokur_Vv_1	Istorich
1	и в	27	22
2	мы имеем	3	19
3	в этом	34	17
4	и т	43	16
5	т е	38	16
6	т д	37	15
7	что в	11	15
8	не только	21	14
9	мы видели	2	13
10	но и	5	12
11	и не	13	12
12	в этих	3	11
13	может быть	24	11
14	или в	1	11
15	но в	10	10
16	таким образом	19	10
17	еще не	4	10
18	в нем	13	9
19	что и	3	9
20	в том	31	9
21	что он	4	9
22	вместе с	6	9
23	как мы	9	8
24	мы видим	1	8
25	с этим	2	8
26	том что	26	8
27	но не	7	7
28	то что	17	7
29	мы должны	1	7
30	уже не	5	7
31	из них	3	7
32	так как	13	7
33	с другой	8	7
34	другой стороны	5	7
35	этих случаях	2	7
36	к этому	3	7
37	то же	8	6
38	мы уже	1	6
39	не вполне	4	6
40	это не	8	6
41	во время	1	6
42	как указывает	1	6
43	ничего не	2	6
44	связи с	3	6
45	если бы	2	6
46	в них	4	6
47	что здесь	2	6
48	мы можем	2	6
49	а не	3	6
50	в течение	5	6
51	а в	5	6
52	с ней	2	6
53	все же	8	5
54	что она	3	5
55	в этой	3	5
56	тем не	8	5
57	не менее	8	5
58	могут быть	4	5
59	к нему	2	5
60	в свете	1	5
61	того что	12	5
62	один из	6	5
63	так что	5	5
64	до сих	5	5
65	показывает что	1	5
66	у меня	1	5
67	в частности	3	5
68	или по	1	5
69	есть и	4	5
70	этом случае	6	5
71	сих пор	5	5
72	одним из	5	4
73	и на	3	4
74	все эти	3	4
75	отношение к	3	4
76	не в	8	4
77	имеем в	1	4
78	на этом	3	4
79	и с	2	4
80	не всегда	1	4
81	у нас	2	4
82	как это	5	4
83	но он	1	4
84	и его	5	4
85	тем что	6	4
86	что на	1	4
87	в дальнейшем	2	4
88	только в	13	4
89	его и	1	4
90	представляют собой	6	4
91	а именно	6	4
92	связано с	1	4
93	они не	1	4
94	в данном	11	4
95	в свою	1	4
96	не может	13	4
97	и другие	1	4
98	связана с	4	3
99	имеет свою	2	3
100	что иное	4	3
101	представление о	1	3
102	и ее	4	3
103	иное как	5	3
104	в чем	4	3
105	со стороны	12	3
106	в одной	1	3
107	и как	9	3
108	и к	1	3
109	в целом	5	3
110	представляет собой	12	3
111	из этих	5	3
112	на его	1	3
113	могло быть	1	3
114	а затем	1	3
115	его в	6	3
116	было бы	5	3
117	должен был	4	3
