N	2gram	Medvedev_U_1	DiskursI
1	в себе	2	19
2	в этом	7	16
3	как и	3	16
4	и в	14	16
5	в качестве	1	16
6	может быть	6	16
7	и не	8	15
8	а не	10	14
9	то есть	1	12
10	в частности	3	12
11	но в	3	11
12	но и	4	11
13	не только	10	10
14	том что	2	10
15	так и	1	9
16	не может	7	9
17	в том	2	8
18	но не	2	7
19	в данном	1	7
20	в нем	1	7
21	прежде всего	8	7
22	то же	5	6
23	с его	2	6
24	данном случае	1	6
25	отнюдь не	1	6
26	все же	3	6
27	в своей	3	6
28	в противовес	2	5
29	в своем	1	5
30	в то	3	5
31	с другой	4	5
32	же время	3	5
33	что в	1	5
34	для него	3	5
35	то что	7	5
36	и то	3	4
37	литературного жанра	1	4
38	в этой	4	4
39	этом отношении	2	4
40	о том	1	4
41	в пределах	1	4
42	с одной	1	4
43	одно из	1	4
44	одной стороны	1	4
45	в период	1	4
46	к этому	1	4
47	он не	1	3
48	не следует	3	3
49	это не	3	3
50	в котором	1	3
51	не столько	2	3
52	не в	2	3
53	могут быть	2	3
54	приводит к	1	3
55	в его	2	3
56	только в	2	3
57	уже не	1	3
58	в исторической	1	3
59	не было	1	3
60	иначе говоря	1	3
61	можно сказать	1	3
62	но это	2	3
63	и все	1	3
64	как на	1	3
65	же как	1	2
66	большую значимость	1	2
67	и это	1	2
68	той же	1	2
69	в ней	1	2
70	мы имеем	1	2
71	установку на	2	2
72	к которой	1	2
73	жанра но	1	2
74	более чем	2	2
75	первый взгляд	1	2
76	должна быть	2	2
77	в первую	1	2
78	у пушкина	1	2
79	и с	2	2
80	входит в	1	2
81	должно быть	1	2
82	все это	5	2
83	на первый	2	2
84	этом случае	1	2
85	обращение к	1	2
86	речи в	1	2
87	их в	1	2
88	никогда не	1	2
89	сводится к	2	2
90	не столь	1	2
91	в области	3	2
92	для себя	1	2
93	отсюда и	1	2
94	на большую	1	2
95	произведения как	1	2
96	первую очередь	1	2
97	между тем	2	2
98	что и	2	2
99	не о	3	2
100	далеко не	1	2
101	и прежде	1	2
102	или по	1	2
103	о чем	2	2
104	в той	1	2
105	что же	1	2
106	в свое	1	2
107	и для	2	2
108	объекта и	1	2
109	на роль	1	2
110	исторической поэтики	1	2
111	другой стороны	3	2
112	что он	2	2
113	это в	1	2
114	одним из	2	1
115	художественного произведения	2	1
116	а между	2	1
117	самом деле	2	1
118	но если	1	1
119	к созданию	1	1
120	мы не	2	1
121	а для	1	1
122	целого но	1	1
123	но даже	2	1
124	этого термина	2	1
125	во мне	1	1
126	он был	1	1
127	бы то	3	1
128	не то	1	1
129	в сторону	2	1
130	конечном счете	4	1
131	за пределы	1	1
132	почему и	1	1
133	в этот	1	1
134	в самом	2	1
135	в которой	1	1
136	претендует на	1	1
137	но именно	1	1
138	и только	5	1
139	о которой	1	1
140	не как	3	1
141	но прежде	1	1
142	ориентация на	1	1
143	же остается	1	1
144	таким образом	2	1
145	правило не	1	1
146	то ни	3	1
147	об этом	1	1
148	ее нельзя	2	1
149	форму и	2	1
150	еще одно	1	1
151	из первых	1	1
152	лучшая часть	1	1
153	этого не	1	1
154	и вне	1	1
155	как целого	1	1
156	восприятия и	1	1
157	качестве героя	1	1
158	конструктивное значение	1	1
159	как искусство	1	1
160	на каждом	2	1
161	в которых	1	1
162	установка на	1	1
163	а.н веселовского	1	1
164	по крайней	2	1
165	произведения в	1	1
166	литературной эпохи	1	1
167	что этот	1	1
168	нас самих	1	1
169	она не	1	1
170	в процессе	1	1
171	форму художественного	1	1
172	ничего не	2	1
173	не вполне	1	1
174	того как	1	1
175	поэта а	1	1
176	маяковского и	1	1
177	именно такой	1	1
178	не могут	2	1
179	эстетического объекта	6	1
180	было у	1	1
181	но также	1	1
182	не есть	2	1
183	не поднимается	1	1
184	и служит	1	1
185	для читателя	1	1
186	слова а	1	1
187	строго говоря	1	1
188	жанра в	1	1
189	для этого	3	1
190	и даже	1	1
191	состоять в	1	1
192	такое художественное	1	1
193	о нем	1	1
194	и т.д	3	1
195	и что	1	1
196	в значительной	1	1
197	нас в	2	1
198	в конечном	4	1
199	крайней мере	2	1
200	но тут	1	1
201	от утверждения	1	1
202	сводить к	1	1
203	с каждым	1	1
204	и быть	1	1
205	отказ от	1	1
206	каждом шагу	2	1
207	и так	1	1
208	сторону от	1	1
209	с которыми	1	1
210	для всех	2	1
211	содержания и	1	1
212	в современном	1	1
213	не для	1	1
214	содержание и	1	1
215	может служить	1	1
216	не случайно	2	1
217	как такового	3	1
218	тем что	2	1
219	не обладает	1	1
220	когда бы	1	1
221	того что	1	1
222	ночью в	1	1
223	и др	1	1
224	поэзии и	1	1
225	в некоторых	2	1
226	превращается в	2	1
227	до конца	1	1
228	его как	1	1
229	и слово	1	1
230	должна была	2	1
231	к лицу	1	1
232	равно как	1	1
233	свой опыт	1	1
234	из которых	1	1
235	для первого	1	1
236	об ее	1	1
237	но для	1	1
238	от слова	1	1
239	формы и	2	1
240	стороны в	1	1
241	ни было	3	1
242	же в	1	1
243	в искусстве	6	1
244	такая система	1	1
245	а о	2	1
246	сказать что	1	1
247	конечно как	1	1
248	в противоположную	1	1
249	ее в	1	1
250	т.е в	2	1
