N	3gram	Tiupa_Disk_2	Myshleni
1	в том что	6	19
2	по отношению к	4	10
3	с точки зрения	2	10
4	с самого начала	1	7
5	можно сказать что	1	6
6	при переходе от	1	5
7	и того же	2	4
8	одного и того	2	4
9	и той же	1	3
10	в этом отношении	4	3
11	в первую очередь	2	3
12	одной и той	1	3
13	не в состоянии	1	2
14	состоит в том	2	2
15	в этом случае	2	2
16	и там где	1	2
17	и не может	2	2
18	до известной степени	1	2
19	только то что	1	2
20	одном и том	1	2
21	именно в этом	1	2
22	и то что	2	2
23	и том же	1	2
24	во втором случае	1	2
25	не могут быть	1	2
26	с другой стороны	1	2
27	в этом заключается	1	2
28	об одном и	1	2
29	мы имеем дело	1	2
30	не может быть	3	2
31	том что в	1	1
32	на всем протяжении	1	1
33	к другому в	1	1
34	в том числе	1	1
35	в качестве своего	1	1
36	друг от друга	1	1
37	в состоянии решить	1	1
38	в отличие от	12	1
39	и именно в	1	1
40	то что в	1	1
41	по аналогии с	1	1
42	в противоположную сторону	1	1
43	том числе и	1	1
44	на каждом шагу	1	1
45	в этот период	1	1
46	случае мы имеем	1	1
47	и могут быть	1	1
48	содержит в себе	2	1
49	не совпадает с	1	1
50	в данном случае	6	1
51	с одной стороны	4	1
52	потому что в	1	1
53	собственно и составляет	1	1
54	а не как	1	1
55	данном случае мы	1	1
56	и все же	3	1
57	которое может быть	1	1
58	и как бы	2	1
59	как и в	5	1
60	но в этом	1	1
61	в самом деле	1	1
62	той или иной	3	1
63	включает в себя	1	1
64	один из важнейших	1	1
65	тем не менее	1	1
66	не принадлежит к	1	1
67	подобно тому как	2	1
68	принципиальное различие между	1	1
69	связи и отношения	1	1
70	в пределах одного	1	1
