N	3gram	Berdyaev_O_1	Narrotol
1	в том что	1	5
2	не может быть	2	4
3	в этом отношении	1	3
4	для того чтобы	3	3
5	о том что	1	2
6	в самом деле	1	2
7	так и не	1	2
8	не было и	1	2
9	но и в	2	2
10	заключает в себе	1	2
11	и все же	1	2
12	во всяком случае	1	2
13	на то что	1	2
14	о бессмертии души	1	1
15	никогда не было	2	1
16	и не может	1	1
17	как и все	2	1
18	было для него	1	1
19	том случае если	1	1
20	сам по себе	1	1
21	он и не	1	1
22	и то что	1	1
23	в том случае	1	1
24	все что было	1	1
25	что это за	1	1
26	в самом начале	1	1
27	как и в	1	1
28	все та же	1	1
29	друг с другом	1	1
30	потому что в	1	1
31	на людей и	1	1
32	что у него	2	1
33	а не в	2	1
34	бросается в глаза	1	1
35	преступление и наказание	1	1
36	всех действующих лиц	1	1
37	само по себе	1	1
38	и в самом	1	1
39	в человеке в	3	1
40	в его жизни	1	1
41	с его собственным	1	1
