N	2gram	Tiupa_Vved_1	FransuaR
1	и в	13	49
2	то есть	8	32
3	прежде всего	7	19
4	в его	4	18
5	и на	3	17
6	не только	20	17
7	и его	5	17
8	в этом	21	15
9	и не	12	15
10	в них	2	13
11	только в	6	13
12	но и	19	13
13	во время	1	12
14	как и	11	11
15	и т.п	9	11
16	как бы	4	11
17	в этой	1	10
18	вовсе не	1	10
19	в нем	5	9
20	для него	3	9
21	и др	1	9
22	все это	1	9
23	в романе	6	9
24	в сущности	1	8
25	отношение к	2	8
26	во франции	1	8
27	то же	5	7
28	все же	6	7
29	все эти	1	7
30	таким образом	4	7
31	на протяжении	1	7
32	как мы	3	7
33	один из	3	7
34	не может	7	7
35	жизни и	7	7
36	во всех	2	6
37	в истории	1	6
38	с их	1	6
39	так и	8	6
40	и с	2	6
41	времени и	7	6
42	точки зрения	1	6
43	но он	1	6
44	в то	4	6
45	же время	3	6
46	в литературе	2	6
47	то что	6	6
48	сказать что	1	6
49	из этих	3	5
50	но не	5	5
51	в своем	5	5
52	при этом	26	5
53	в своей	5	5
54	никогда не	4	5
55	роль в	1	5
56	тот же	1	5
57	уже в	1	5
58	в начале	3	5
59	может быть	18	5
60	в особенности	1	5
61	относится к	1	5
62	и потому	1	5
63	и до	1	4
64	и к	2	4
65	но в	6	4
66	в себе	5	4
67	лишь в	2	4
68	в жизни	4	4
69	в этих	3	4
70	и более	3	4
71	с ним	3	4
72	одна из	4	4
73	в области	3	4
74	году в	1	4
75	характер и	1	4
76	она была	2	4
77	с другой	5	4
78	и чисто	1	4
79	а в	6	4
80	тем что	2	4
81	в форме	1	4
82	не было	2	4
83	благодаря этому	1	4
84	и о	1	4
85	том что	7	4
86	в духе	1	4
87	нового времени	3	4
88	в своих	2	4
89	значение в	1	4
90	также и	4	3
91	в самом	2	3
92	на первом	1	3
93	место в	2	3
94	точка зрения	3	3
95	для которого	3	3
96	да и	1	3
97	но именно	1	3
98	всех этих	1	3
99	и вот	1	3
100	можно было	2	3
101	было бы	4	3
102	из них	1	3
103	далеко не	4	3
104	несмотря на	1	3
105	мы видели	2	3
106	во всем	1	3
107	в одном	1	3
108	их в	2	3
109	даже в	1	3
110	но они	2	3
111	только с	1	3
112	с ее	1	3
113	существенное значение	1	3
114	в ее	1	3
115	так в	4	3
116	в последующих	1	3
117	в виду	1	3
118	о том	5	3
119	в значительной	1	3
120	к нему	1	3
121	утрачивает свою	1	3
122	наконец в	1	3
123	же в	1	3
124	большей или	1	3
125	что он	1	3
126	мире и	1	3
127	с одной	5	3
128	этом отношении	4	3
129	и особенно	1	3
130	или меньшей	1	3
131	что для	1	3
132	превращается в	1	3
133	связь с	1	3
134	о чем	2	3
135	одной стороны	5	3
136	в течение	1	3
137	первом плане	1	3
138	но эти	1	3
139	и все	4	3
140	в том	10	3
141	жизни в	4	3
142	другой стороны	2	3
143	как известно	1	2
144	одним из	5	2
145	на самом	4	2
146	тех же	1	2
147	перед лицом	1	2
148	и последующих	1	2
149	он как	1	2
150	в ней	4	2
151	еще не	7	2
152	стороны на	1	2
153	что они	1	2
154	образов но	2	2
155	как к	1	2
156	целый ряд	2	2
157	та же	1	2
158	в нашем	6	2
159	на то	1	2
160	вследствие этого	3	2
161	на его	1	2
162	перестает быть	1	2
163	ключ к	1	2
164	и еще	1	2
165	содержит в	1	2
166	подобно тому	2	2
167	так например	1	2
168	значительной степени	1	2
169	в свет	1	2
170	в мире	8	2
171	второй половины	1	2
172	в художественном	1	2
173	должен был	1	2
174	автора и	1	2
175	по поводу	2	2
176	в отношении	1	2
177	что касается	5	2
178	в их	1	2
179	на фоне	2	2
180	мы должны	1	2
181	что в	3	2
182	вплоть до	1	2
183	того как	1	2
184	того чтобы	1	2
185	и после	1	2
186	связи с	1	2
187	художественной литературы	1	2
188	могут быть	4	2
189	он видит	1	2
190	здесь не	2	2
191	миром и	1	2
192	на основе	1	2
193	в пределах	2	2
194	особенно в	1	2
195	еще в	2	2
196	в произведении	1	2
197	и т.д	5	2
198	одного из	3	2
199	можно сказать	4	2
200	в формах	1	2
201	проникнуть в	1	2
202	очень много	1	2
203	всяком случае	1	2
204	и оценку	1	2
205	в качестве	8	2
206	есть в	2	2
207	себе в	1	2
208	в конце	1	2
209	мы можем	2	2
210	у него	1	2
211	и даже	1	2
212	и прежде	1	2
213	связано с	3	2
214	до конца	3	2
215	власти и	1	2
216	человек в	1	2
217	в связи	1	2
218	для них	3	2
219	вместе с	1	2
220	так же	1	2
221	в него	1	2
222	такого рода	16	2
223	на эту	1	2
224	тому как	2	2
225	о человеке	1	2
226	но это	3	2
227	аллюзия на	1	2
228	и становится	1	2
229	не подлежит	1	2
230	хотя и	7	2
231	в целях	1	2
232	природой и	1	2
233	в противоположность	1	2
234	во всяком	1	2
235	все что	3	2
236	например в	2	1
237	с кем	1	1
238	самом деле	3	1
239	он может	1	1
240	сил и	1	1
241	к своей	1	1
242	который можно	1	1
243	смерти с	1	1
244	тем же	1	1
245	сохраняется но	1	1
246	в котором	8	1
247	должна быть	2	1
248	той же	1	1
249	из всех	1	1
250	чего в	1	1
251	в несколько	1	1
252	мы имеем	5	1
253	обновления и	1	1
254	с текстом	1	1
255	время здесь	1	1
256	и ценит	1	1
257	но она	1	1
258	не вполне	3	1
259	мы и	2	1
260	того же	1	1
261	и он	1	1
262	вопросы о	1	1
263	и самого	1	1
264	характерную для	1	1
265	и мира	3	1
266	бы она	1	1
267	начале и	1	1
268	ли его	1	1
269	могло быть	1	1
270	же она	1	1
271	в противовес	3	1
272	присутствует в	1	1
273	по отношению	7	1
274	связи и	1	1
275	его развития	1	1
276	так что	1	1
277	в центре	2	1
278	в одной	2	1
279	как в	4	1
280	как образ	2	1
281	стороны и	1	1
282	однако не	1	1
283	перед нами	6	1
284	и наконец	2	1
285	именно эта	1	1
286	них как	2	1
287	в смысл	1	1
288	со своей	1	1
289	к чему	1	1
290	в целом	3	1
291	всего романа	1	1
292	он в	1	1
293	жизни так	2	1
294	бы не	2	1
295	всего к	1	1
296	что к	1	1
297	и тот	1	1
298	так сказать	2	1
299	быть только	2	1
300	а более	1	1
301	он не	3	1
302	которому принадлежит	1	1
303	же году	1	1
304	они служат	1	1
305	в силу	2	1
306	в корне	1	1
307	том чтобы	2	1
308	новое и	1	1
309	из него	1	1
310	и по	3	1
311	на этом	1	1
312	людей и	1	1
313	в большой	1	1
314	в нее	1	1
315	говоря в	1	1
316	этом последнем	1	1
317	однако все	1	1
318	могла бы	3	1
319	что все	1	1
320	в совершенно	1	1
321	об этом	4	1
322	вводит в	1	1
323	входит в	1	1
324	это не	6	1
325	это одна	1	1
326	он есть	1	1
327	по мысли	5	1
328	эти моменты	1	1
329	времен года	1	1
330	в итоге	3	1
331	кажется что	1	1
332	о которых	1	1
333	не всегда	2	1
334	сказано в	1	1
335	как сказано	1	1
336	так называемый	1	1
337	не мог	1	1
338	с еще	1	1
339	и конец	2	1
340	его нельзя	1	1
341	но если	1	1
342	в пятом	2	1
343	самый момент	1	1
344	вторая часть	1	1
345	от времени	1	1
346	должны были	2	1
347	рождение и	1	1
348	не менее	4	1
349	не в	6	1
350	том же	1	1
351	он выступает	1	1
352	из которых	1	1
353	области художественной	1	1
354	до известной	1	1
355	как о	2	1
356	чтобы стать	2	1
357	все без	1	1
358	в разных	1	1
359	как формы	1	1
360	текста и	3	1
361	всего на	1	1
362	после первого	1	1
363	как она	1	1
364	определения как	1	1
365	потому что	5	1
366	и теперь	1	1
367	смысл этой	1	1
368	не столь	1	1
369	к читателю	1	1
370	с тем	1	1
371	однако это	1	1
372	события но	2	1
373	точке зрения	1	1
374	к себе	1	1
375	есть только	1	1
376	далеко за	1	1
377	и сам	1	1
378	и другим	1	1
379	к тому	6	1
380	не стала	1	1
381	но также	2	1
382	указывает на	1	1
383	в древности	1	1
384	в строгом	1	1
385	оно не	1	1
386	должен быть	1	1
387	то она	1	1
388	во вселенной	1	1
389	его произведение	1	1
390	романе в	1	1
391	человеческого сознания	2	1
392	начало и	2	1
393	здесь мы	1	1
394	что может	1	1
395	если бы	7	1
396	по мере	1	1
397	на их	1	1
398	есть одновременно	1	1
399	и та	1	1
400	настоящее время	1	1
401	в игре	1	1
402	и который	1	1
403	положения и	1	1
404	а во	1	1
405	что и	2	1
406	или напротив	2	1
407	во всей	1	1
408	существенную роль	1	1
409	лишь к	1	1
410	в художественной	1	1
411	представления о	1	1
412	ряд других	1	1
413	как если	1	1
414	и она	1	1
415	сознания вследствие	1	1
416	того что	6	1
417	происходит в	1	1
418	хотя бы	1	1
419	ведь эти	1	1
420	мы видим	1	1
421	в какой	4	1
422	для себя	1	1
423	становления в	1	1
424	еще и	1	1
425	в разные	1	1
426	поэтому и	1	1
427	всех его	1	1
428	они могут	1	1
429	это означает	1	1
430	и ее	1	1
431	одна и	1	1
432	все они	2	1
433	из которого	1	1
434	не входит	1	1
435	и у	1	1
436	своего рода	10	1
437	ни одного	1	1
438	такие определения	1	1
439	вернуться к	1	1
440	этого нельзя	1	1
441	в виде	1	1
442	в данной	2	1
443	постепенно становится	1	1
444	что будет	1	1
445	и их	1	1
446	узнает в	1	1
447	в особых	2	1
448	слова в	2	1
449	художественная литература	1	1
450	к ним	2	1
451	не о	2	1
452	известно что	1	1
453	как раз	2	1
454	и оценки	1	1
455	степени в	1	1
456	где в	3	1
457	после него	1	1
458	только на	1	1
459	событие в	1	1
460	на уровне	1	1
461	а о	1	1
462	по своим	3	1
463	к которому	2	1
464	историческому процессу	1	1
465	один и	1	1
466	что не	1	1
467	что вполне	1	1
468	на этот	1	1
469	не на	1	1
470	а не	15	1
471	литература в	1	1
472	только от	1	1
473	реальности в	1	1
474	ближе к	1	1
475	не существует	2	1
476	он и	2	1
477	в те	1	1
478	с помощью	1	1
479	проникновения в	2	1
480	в частности	13	1
481	вся жизнь	1	1
482	корне изменилось	1	1
483	если она	2	1
484	них но	1	1
485	к своему	1	1
486	по своему	2	1
487	есть на	1	1
488	момент как	1	1
489	в терминах	1	1
490	культуры в	1	1
491	на ранних	1	1
492	рассказ в	2	1
493	материал для	1	1
494	этом случае	1	1
495	видно что	1	1
496	но разумеется	1	1
497	тому или	1	1
498	это уже	1	1
499	не является	3	1
500	известной степени	1	1
501	и для	3	1
502	картине мира	4	1
503	сохраняется и	2	1
504	очень существенный	1	1
505	и от	2	1
506	которая в	3	1
507	в настоящее	1	1
508	для нас	2	1
509	бы в	3	1
510	еще более	1	1
511	будто бы	3	1
512	для проникновения	1	1
513	центре этого	1	1
514	исключительно в	1	1
515	но оно	1	1
516	на смену	2	1
517	в свою	4	1
518	является и	1	1
519	имеет место	4	1
520	отношению к	7	1
521	времени но	1	1
522	не превращается	1	1
523	к этому	2	1
