N	2gram	Losev_Vlad_2	UchenyiS
1	и в	30	14
2	а не	7	10
3	не только	12	10
4	и не	18	8
5	прежде всего	6	8
6	в этом	20	7
7	не может	9	7
8	то что	20	7
9	может быть	7	6
10	все это	5	5
11	то же	4	5
12	хотя бы	3	5
13	в их	2	4
14	что такое	1	4
15	конечно не	4	4
16	но и	8	4
17	в этой	4	4
18	в россии	3	4
19	у нас	6	3
20	бы то	1	3
21	в своей	5	3
22	все же	9	3
23	то ни	1	3
24	в то	9	3
25	же время	3	3
26	пришлось бы	1	3
27	в частности	2	3
28	для этого	1	3
29	в области	3	3
30	для него	9	3
31	но в	8	3
32	не о	2	3
33	и то	5	3
34	было бы	9	3
35	это не	2	3
36	как и	5	3
37	не столько	3	2
38	одним из	1	2
39	сводится к	1	2
40	для всех	1	2
41	неудивительно что	1	2
42	в себе	6	2
43	к области	1	2
44	бы и	1	2
45	и с	14	2
46	если не	2	2
47	нас в	2	2
48	по себе	5	2
49	конце концов	3	2
50	мы и	1	2
51	интереса к	1	2
52	но не	3	2
53	с его	4	2
54	ничего не	2	2
55	сколько угодно	2	2
56	по существу	3	2
57	этом смысле	1	2
58	тем что	1	2
59	и для	3	2
60	даже и	3	2
61	о чем	6	2
62	и является	1	2
63	не все	1	2
64	крайней мере	4	2
65	что она	1	2
66	это было	4	2
67	что он	13	2
68	что все	1	2
69	в том	18	2
70	только в	6	2
71	таким образом	3	2
72	более чем	1	2
73	нам представляется	2	2
74	на эту	2	2
75	на первый	2	2
76	но даже	1	2
77	что и	3	2
78	по крайней	4	2
79	всех этих	3	2
80	в его	11	2
81	сих пор	1	2
82	если бы	1	2
83	как раз	1	2
84	что мы	1	2
85	не в	9	2
86	литературы и	1	2
87	его и	2	2
88	в самом	2	2
89	самом деле	1	2
90	мы не	2	2
91	а как	1	2
92	этом отношении	1	2
93	в конце	13	2
94	но это	4	2
95	не есть	4	2
96	том что	12	2
97	не могут	1	2
98	до сих	1	2
99	то и	1	1
100	является с	1	1
101	что по	1	1
102	это то	1	1
103	которое мы	1	1
104	и что	5	1
105	в которой	4	1
106	до конца	7	1
107	в качестве	1	1
108	он не	4	1
109	в первую	1	1
110	начала и	2	1
111	вообще в	3	1
112	была у	1	1
113	об этом	6	1
114	пушкина но	1	1
115	содержание и	1	1
116	от которой	1	1
117	само по	2	1
118	на его	4	1
119	с тем	2	1
120	первую очередь	1	1
121	тот же	5	1
122	это значит	2	1
123	религии и	1	1
124	этого конечно	1	1
125	пишет в	1	1
126	поэзии и	1	1
127	то о	1	1
128	по его	1	1
129	столько же	1	1
130	слово что	1	1
131	или по	2	1
132	в свое	1	1
133	в виду	2	1
134	представляется что	1	1
135	что только	1	1
136	эта работа	1	1
137	в течение	5	1
138	не то	3	1
139	тем более	3	1
140	почему все	1	1
141	независимо от	1	1
142	этого не	2	1
143	данном случае	2	1
144	по теории	1	1
145	путь и	1	1
146	лет с	1	1
147	или даже	1	1
148	но тут	1	1
149	с которыми	4	1
150	очень часто	1	1
151	в совокупности	2	1
152	чем то	1	1
153	в период	1	1
154	своей работе	1	1
155	можно сказать	4	1
156	она не	2	1
157	г №	1	1
158	первый план	2	1
159	но он	3	1
160	разрыв с	1	1
161	своем месте	2	1
162	но что	5	1
163	только как	1	1
164	сказать что	11	1
165	о нем	2	1
166	о том	4	1
167	существует в	1	1
168	не столь	1	1
169	как нам	1	1
170	его как	1	1
171	что же	8	1
172	достаточно ясно	1	1
173	не без	1	1
174	было и	1	1
175	ее в	1	1
176	и потому	2	1
177	анализ его	1	1
178	о необходимости	1	1
179	все его	1	1
180	с каждым	1	1
181	но по	2	1
182	и быть	1	1
183	равно как	1	1
184	даже не	1	1
185	было у	2	1
186	нам известно	1	1
187	что в	12	1
188	он был	6	1
189	ошибок но	1	1
190	а это	3	1
191	тогда когда	2	1
192	эту книгу	1	1
193	к которой	1	1
194	для себя	5	1
195	даны не	1	1
196	а для	1	1
197	и вы	2	1
198	же в	2	1
199	ней не	1	1
200	если у	1	1
201	того что	5	1
202	должно быть	3	1
203	той же	4	1
204	речи в	1	1
205	в этот	1	1
206	уже не	3	1
207	в которых	1	1
208	к этому	6	1
209	так и	5	1
210	в таком	3	1
211	или менее	3	1
212	последние годы	3	1
213	в виде	3	1
214	мы имеем	1	1
215	связанных с	1	1
216	него не	1	1
217	время не	1	1
218	или иначе	3	1
219	так или	3	1
220	произведения как	1	1
221	но если	1	1
222	более или	3	1
223	в той	2	1
224	слишком часто	1	1
225	нет и	1	1
226	только при	1	1
227	и все	7	1
228	исходить из	2	1
229	развитие в	1	1
230	в г	1	1
231	и это	3	1
232	отказаться от	1	1
233	он называет	3	1
234	не было	10	1
235	и др	1	1
236	на то	2	1
237	сам по	2	1
238	со своими	1	1
239	тех кто	1	1
240	и всей	1	1
241	никогда не	7	1
242	он в	1	1
243	и даже	10	1
244	что для	2	1
245	в котором	5	1
246	быть в	3	1
247	такое что	1	1
248	почему и	2	1
249	в произведении	1	1
250	с самим	1	1
251	его на	3	1
252	вводит понятие	1	1
253	у него	19	1
254	возвращается в	1	1
255	что с	1	1
256	этом случае	1	1
257	еще один	2	1
258	и своеобразным	1	1
259	ничего подобного	1	1
260	в нем	4	1
261	к вопросам	1	1
262	что этот	1	1
263	в ней	4	1
264	того как	2	1
265	и прежде	2	1
266	слова а	1	1
267	это в	3	1
268	далеко не	1	1
269	то есть	7	1
270	в порядке	1	1
271	впрочем не	3	1
272	он уже	5	1
273	он и	3	1
274	не вполне	2	1
275	в пользу	1	1
276	этого общего	1	1
277	они в	1	1
278	их в	2	1
279	в последние	2	1
280	но для	1	1
281	в своем	8	1
282	в данном	3	1
283	на слово	1	1
284	именно к	3	1
285	к проблемам	1	1
