N	3gram	Propp_Russ_2	Myslijsy
1	в том что	18	16
2	смысле этого слова	1	7
3	только тогда когда	3	7
4	вместе с тем	4	4
5	с другой стороны	1	4
6	но и в	1	4
7	в то время	2	4
8	потому что он	1	3
9	далеко не все	1	3
10	более или менее	1	3
11	может быть только	2	3
12	с одной стороны	2	3
13	в свою очередь	1	3
14	и т д	5	3
15	тем не менее	2	3
16	для того чтобы	6	3
17	не может быть	3	3
18	а между тем	1	2
19	подобно тому как	3	2
20	в том же	1	2
21	мы должны будем	1	2
22	в этом отношении	1	2
23	в том чтобы	2	2
24	но вместе с	2	2
25	и в том	1	2
26	можно заключить что	1	2
27	мы не можем	2	2
28	как и в	1	2
29	можно сказать что	1	2
30	с тем и	1	2
31	все следующие за	1	1
32	отсюда видно что	1	1
33	потому что в	1	1
34	так что в	1	1
35	во многих случаях	2	1
36	может быть назван	1	1
37	том что это	3	1
38	есть та же	1	1
39	и в других	4	1
40	а может быть	1	1
41	но все это	1	1
42	из того что	1	1
43	с места и	1	1
44	предположить что в	1	1
45	то время как	1	1
46	он был бы	1	1
47	ни с одним	1	1
48	в данном случае	6	1
49	может быть не	1	1
50	каждый из этих	1	1
51	не все в	1	1
52	те или другие	1	1
53	что именно в	1	1
54	не принадлежат к	2	1
55	бросается в глаза	2	1
56	связи с другими	1	1
57	и в таком	1	1
58	и таким образом	1	1
59	быть не только	1	1
60	так как при	1	1
61	этой силы на	1	1
62	то увидим что	1	1
63	таким образом в	1	1
64	а вместе с	1	1
65	все силы природы	1	1
66	имея в виду	1	1
67	только как символ	1	1
68	о том что	4	1
69	тем и другим	1	1
70	в связь с	1	1
71	том что ее	1	1
72	состоит не в	1	1
73	не было ни	1	1
74	на то что	1	1
75	тем более что	1	1
76	как мы уже	1	1
77	и то и	1	1
78	после того как	2	1
79	по этому поводу	2	1
80	но не только	1	1
81	все то что	1	1
82	для нас не	1	1
83	на первый взгляд	1	1
84	как мы видели	1	1
85	и многие другие	2	1
86	вне связи с	1	1
