N	3gram	Losev_Vlad_2	slovoVRo
1	не может быть	1	15
2	в отличие от	3	12
3	в этом случае	1	6
4	то же время	3	4
5	но все же	1	4
6	в то же	3	4
7	в том что	9	4
8	с точки зрения	3	3
9	в этом отношении	1	3
10	в собственном смысле	1	3
11	но в то	1	3
12	в свою очередь	2	2
13	и наконец в	1	2
14	а также и	1	2
15	более или менее	3	2
16	требует от нас	1	2
17	до сих пор	1	2
18	может быть и	1	2
19	как мы сказали	2	2
20	не только в	2	2
21	все это очень	1	2
22	во всяком случае	6	2
23	сих пор не	1	2
24	как уже сказано	1	2
25	в связи с	8	2
26	как мы уже	1	2
27	для того чтобы	1	2
28	и т д	1	2
29	мы коснемся в	1	1
30	хотя и не	2	1
31	и не в	1	1
32	имеет дело с	1	1
33	в какой мере	1	1
34	а не с	1	1
35	далеко не все	1	1
36	мы уже сказали	1	1
37	также и в	1	1
38	в том числе	1	1
39	том что он	2	1
40	и до конца	2	1
41	он не только	1	1
42	можно утверждать что	1	1
43	не может не	1	1
44	на первый план	2	1
45	и в то	1	1
46	до известной степени	1	1
47	и ни в	1	1
48	на то что	2	1
49	для нас в	1	1
50	он никогда не	2	1
51	говорить только с	1	1
52	все это то	1	1
53	конечно не в	1	1
54	для него самого	1	1
55	и в них	1	1
56	а также в	1	1
57	такой степени что	1	1
58	в той же	1	1
59	и как мы	2	1
60	не только как	1	1
61	с ним и	1	1
62	тем не менее	6	1
63	о том что	3	1
64	а в том	2	1
65	вместе с ним	1	1
66	к трем основным	1	1
67	и притом в	1	1
68	до конца и	1	1
69	с самого начала	1	1
70	можно говорить только	1	1
71	и особенно в	1	1
72	нужно сказать что	1	1
73	уже не только	1	1
74	этом отношении он	1	1
75	трем основным категориям	1	1
76	и в нем	1	1
77	до некоторой степени	2	1
78	как мы видели	2	1
