N	2gram	Trubetskoy_1	VLabPisa
1	таким образом	31	27
2	в этом	12	26
3	и в	23	25
4	не только	7	22
5	может быть	16	21
6	хотя бы	4	20
7	и не	8	19
8	не может	17	17
9	в его	5	15
10	в процессе	2	14
11	в том	30	13
12	прежде всего	3	13
13	в частности	2	12
14	все это	11	12
15	в силу	7	11
16	с другой	6	11
17	из них	5	11
18	в качестве	1	10
19	не могут	4	10
20	о том	7	10
21	представляет собою	2	10
22	то же	4	9
23	что в	8	9
24	по этому	2	9
25	для него	2	9
26	но и	9	9
27	к этому	5	9
28	в своем	10	8
29	ни один	3	8
30	все эти	19	8
31	не следует	1	8
32	на основании	1	8
33	другой стороны	5	8
34	могут быть	1	8
35	во всех	10	7
36	по отношению	9	7
37	из этих	8	7
38	было бы	3	7
39	как и	9	7
40	том что	19	7
41	произведения в	1	7
42	этому поводу	1	7
43	не было	2	7
44	а не	1	7
45	вместе с	6	7
46	отношению к	9	7
47	это и	1	6
48	в зависимости	1	6
49	более или	7	6
50	в себе	5	6
51	в нем	3	6
52	главным образом	1	6
53	идеи и	1	6
54	это не	3	6
55	или менее	7	6
56	их в	2	6
57	том же	4	6
58	и его	1	6
59	в то	6	6
60	так и	10	6
61	между тем	12	6
62	у него	5	6
63	то что	18	6
64	одним из	4	5
65	в их	4	5
66	зависимости от	1	5
67	очевидно что	3	5
68	все же	13	5
69	и при	6	5
70	не в	8	5
71	тому что	2	5
72	же время	2	5
73	связи с	4	5
74	приводит к	1	5
75	один из	1	5
76	как бы	10	5
77	в результате	9	5
78	сказать что	1	5
79	только в	6	5
80	с его	1	4
81	в этой	6	4
82	перед нами	1	4
83	в самом	8	4
84	в целом	5	4
85	что все	5	4
86	в них	2	4
87	даже в	3	4
88	одна из	2	4
89	никогда не	4	4
90	к тому	8	4
91	должен быть	1	4
92	и подобных	1	4
93	показывают что	2	4
94	подобных им	1	4
95	с ними	2	4
96	что он	7	4
97	в нашей	1	4
98	в связи	3	4
99	художественное произведение	1	4
100	приведенных выше	1	4
101	в своей	1	4
102	например в	1	3
103	сил и	2	3
104	в котором	2	3
105	из его	1	3
106	имеет свою	1	3
107	в которых	2	3
108	видели что	1	3
109	но как	2	3
110	нет и	1	3
111	что они	2	3
112	с этим	11	3
113	и как	1	3
114	и к	5	3
115	всех этих	4	3
116	и по	3	3
117	его в	5	3
118	далеко не	5	3
119	с тем	2	3
120	мы видели	2	3
121	точки зрения	13	3
122	и ее	2	3
123	это делает	1	3
