N	3gram	Berdyaev_N_1	Myshleni
1	в том что	1	17
2	вместе с тем	2	10
3	в отличие от	1	6
4	так же как	2	6
5	в высшей степени	6	6
6	в зависимости от	1	5
7	можно было бы	1	5
8	с одной стороны	2	5
9	и того же	1	4
10	то время как	1	4
11	же как и	1	4
12	во всяком случае	1	4
13	в то время	1	4
14	это значит что	1	4
15	одного и того	1	4
16	о том что	1	3
17	сами по себе	1	3
18	бы сказать что	1	3
19	с другой стороны	2	3
20	та или иная	1	3
21	по своему строению	1	2
22	только потому что	1	2
23	в этом смысле	2	2
24	то что в	1	2
25	совершенно так же	1	2
26	заключает в себе	1	2
27	в известном смысле	1	2
28	не может быть	4	2
29	и вместе с	1	2
30	как и в	1	2
31	по своей природе	1	1
32	в своем развитии	1	1
33	и в высшей	1	1
34	подобно тому как	3	1
35	в том числе	1	1
36	до сих пор	1	1
37	в человеческом обществе	1	1
38	том числе и	1	1
39	от того чтобы	1	1
40	протекает и развивается	1	1
41	в том чтобы	1	1
42	не только в	1	1
43	в значительной степени	1	1
44	и не могут	1	1
45	не могут быть	1	1
46	по своему типу	1	1
47	значит что в	2	1
48	в переходе от	1	1
49	не только потому	1	1
50	ни одна из	2	1
51	выходит за пределы	1	1
52	к вопросу о	1	1
