N	3gram	Bakhtin_sl_1	Freidism
1	с точки зрения	8	11
2	во всяком случае	5	7
3	не может быть	1	7
4	в большинстве случаев	6	5
5	и прежде всего	1	5
6	в зависимости от	3	4
7	то же время	12	4
8	в то же	12	4
9	в данном случае	3	4
10	можно сказать что	1	4
11	как мы уже	2	4
12	в последнем счете	1	4
13	как мы видели	1	4
14	для того чтобы	1	3
15	бы то ни	1	3
16	узком смысле слова	1	3
17	и той же	1	3
18	с помощью которых	1	3
19	в свою очередь	2	3
20	с самого начала	1	3
21	одной и той	1	3
22	и связанных с	2	2
23	то или иное	1	2
24	до сих пор	2	2
25	и не может	2	2
26	его отношение к	1	2
27	в отличие от	1	2
28	во всех областях	1	2
29	может быть и	1	2
30	но в то	4	2
31	так и в	3	2
32	не могут быть	2	2
33	значение во всех	1	2
34	от точки зрения	1	2
35	связанные с этими	1	2
36	во всех своих	1	2
37	в этом отношении	1	2
38	связанных с ними	1	2
39	то ни было	1	2
40	но во всяком	1	2
41	в узком смысле	10	2
42	с одной стороны	4	2
43	тем не менее	1	2
44	может войти в	1	1
45	зрения оценок и	1	1
46	как в отношении	1	1
47	точка зрения на	2	1
48	форма и содержание	1	1
49	между собой в	1	1
50	точек зрения оценок	1	1
51	какой степени не	1	1
52	а вовсе не	2	1
53	равно как и	1	1
54	и нет ничего	1	1
55	и в отношении	1	1
56	как бы ни	2	1
57	в этом случае	2	1
58	в нем и	1	1
59	хотя бы и	3	1
60	до известной степени	2	1
61	и здесь оно	1	1
62	и о своем	1	1
63	в основе их	2	1
64	потому что по	1	1
65	на самом же	1	1
66	во всех этих	1	1
67	по аналогии с	1	1
68	в какой степени	1	1
69	в каком направлении	1	1
70	строится в направлении	1	1
71	всех его многообразных	1	1
72	а иногда и	1	1
73	со всех сторон	1	1
74	по крайней мере	1	1
75	он никогда не	1	1
76	ни в какой	1	1
77	а как бы	1	1
78	до конца и	3	1
79	на своем месте	1	1
80	мы не знаем	1	1
81	среда в которой	1	1
82	и не могут	1	1
83	а также и	1	1
84	он не пытается	1	1
85	и потому не	1	1
86	одни и те	1	1
87	на всех своих	1	1
88	находит свое выражение	1	1
89	в пределах того	4	1
90	оставаясь в пределах	1	1
91	мы все время	1	1
92	как в самом	1	1
93	свою точку зрения	1	1
94	остановимся на нескольких	1	1
95	потому не может	1	1
96	чаще всего они	1	1
97	на нескольких примерах	1	1
98	это было бы	1	1
99	направлении к нему	1	1
100	таким образом в	3	1
101	имеем в виду	1	1
102	в то время	2	1
103	каждого из этих	1	1
104	мы уже сказали	2	1
105	и связанная с	1	1
106	о том что	1	1
107	но чаще всего	1	1
108	и его содержание	1	1
109	не только не	1	1
110	в пределах одной	2	1
111	и те же	1	1
112	прямого и непосредственного	1	1
113	той или иной	9	1
114	и свободно переходит	1	1
115	или во всяком	2	1
116	но и по	1	1
117	мы имеем в	1	1
118	как мы видим	1	1
119	в направлении к	1	1
120	и на протяжении	1	1
121	и следовательно в	2	1
122	и т д	5	1
123	самом же деле	1	1
124	во всех его	7	1
125	в том что	1	1
126	и все его	1	1
127	в основе этой	1	1
128	в стакане воды	1	1
129	он еще не	1	1
