N	2gram	Losev_Prob_3	StatiiOP
1	и в	44	44
2	в том	21	36
3	и т	13	30
4	что в	8	30
5	том что	12	29
6	в этом	17	21
7	т д	13	21
8	вовсе не	37	19
9	не только	14	18
10	то что	23	18
11	было бы	8	17
12	о том	6	17
13	а в	5	17
14	а не	18	16
15	и не	35	16
16	может быть	28	15
17	в данном	9	14
18	как в	5	13
19	пушкина и	3	13
20	можно было	4	13
21	не в	13	12
22	в первой	1	12
23	самом деле	3	11
24	в этой	3	11
25	того чтобы	1	11
26	у нас	10	11
27	точки зрения	5	11
28	но в	12	10
29	ясно что	6	10
30	для того	1	10
31	что он	9	10
32	только в	19	10
33	но и	10	10
34	также и	16	9
35	как и	10	9
36	в отношении	2	9
37	в то	9	9
38	но также	2	9
39	так и	10	9
40	если бы	3	9
41	того что	8	9
42	в его	9	9
43	с другой	7	9
44	например в	1	8
45	во всех	2	8
46	все же	6	8
47	но ведь	1	8
48	это не	9	8
49	из них	2	8
50	с точки	2	8
51	у пушкина	6	8
52	и его	5	8
53	не может	7	8
54	что пушкин	1	8
55	что они	5	7
56	в самом	3	7
57	так например	1	7
58	таким образом	9	7
59	другой стороны	5	7
60	для нас	16	7
61	и об	1	7
62	до сих	2	7
63	прежде всего	3	7
64	сих пор	2	7
65	сказать что	16	7
66	по поводу	2	7
67	на самом	7	6
68	из этих	1	6
69	в своей	5	6
70	потому что	25	6
71	данном случае	7	6
72	что и	9	6
73	всяком случае	6	6
74	так что	12	6
75	для него	3	6
76	именно в	2	6
77	дело в	4	6
78	при чем	1	6
79	в той	3	6
80	что же	8	6
81	но это	8	6
82	хотя бы	3	6
83	во всяком	9	6
84	и то	14	5
85	то же	13	5
86	той же	1	5
87	в целом	6	5
88	все эти	7	5
89	в нем	9	5
90	и по	2	5
91	в слове	2	5
92	в котором	2	5
93	в которых	3	5
94	не менее	10	5
95	вплоть до	1	5
96	никогда не	6	5
97	могут быть	2	5
98	так как	9	5
99	тем что	4	5
100	и даже	14	5
