N	2gram	Tiupa_Disk_1	Poddanst
1	не только	28	17
2	и в	16	14
3	и не	11	12
4	в области	1	11
5	в этом	15	10
6	в качестве	34	9
7	но в	8	9
8	то же	7	9
9	в том	23	9
10	в пределах	2	8
11	хотя бы	3	8
12	только в	7	7
13	в то	3	7
14	же время	4	7
15	было бы	1	6
16	но и	14	6
17	в смысле	1	6
18	отношении к	1	5
19	россии в	1	5
20	в которых	4	5
21	с другой	10	5
22	может быть	17	5
23	не в	7	5
24	и о	4	5
25	если бы	1	4
26	а также	8	4
27	в своем	6	4
28	и к	4	4
29	как бы	5	4
30	но также	1	4
31	том что	19	4
32	не может	9	4
33	и потому	3	4
34	в котором	5	4
35	по себе	3	4
36	в русской	1	4
37	что в	4	4
38	мы должны	1	4
39	а в	5	4
40	то что	5	4
41	мы не	1	3
42	сводится к	5	3
43	столь же	3	3
44	между тем	4	3
45	это не	3	3
46	вслед за	1	3
47	хотя и	2	3
48	и как	6	3
49	с ними	1	3
50	с одной	9	3
51	в себе	7	3
52	в нем	9	3
53	ей в	2	3
54	сами по	2	3
55	в россии	1	3
56	заключается в	3	3
57	прежде всего	11	3
58	одной стороны	9	3
59	с тем	1	3
60	и без	2	3
61	с точки	1	3
62	но не	11	3
63	наряду с	1	3
64	могут быть	4	3
65	тем самым	1	3
66	потому что	4	3
67	точки зрения	3	3
68	и это	1	2
69	отношения к	2	2
70	например в	2	2
71	в ее	3	2
72	переход от	1	2
73	общекультурное значение	1	2
74	и есть	2	2
75	в мире	1	2
76	было в	2	2
77	в xix	1	2
78	в значительной	2	2
79	во всех	5	2
80	говорить о	1	2
81	если в	1	2
82	со стороны	7	2
83	из важнейших	1	2
84	в е	2	2
85	каждый в	2	2
86	отнюдь не	8	2
87	с этим	3	2
88	того что	3	2
89	стороны и	2	2
90	и весьма	1	2
91	к чему	1	2
92	есть в	2	2
93	в проблеме	1	2
94	в начале	2	2
95	и других	1	2
96	в его	7	2
97	из них	3	2
98	в виде	1	2
99	не к	1	2
100	в силу	5	2
101	как раз	1	2
102	полной мере	1	2
103	может ли	1	2
104	именно в	3	2
105	и мы	1	2
106	и тем	2	2
107	в жизни	1	2
108	xix веке	1	2
109	в определенную	1	2
110	для них	1	2
111	в них	4	2
112	не было	7	2
113	а не	22	2
114	явственно различимы	1	2
115	в ряду	2	2
116	более чем	2	2
117	историческом и	1	2
118	не столько	1	2
119	культуры в	1	2
120	не менее	2	2
121	своем значении	1	2
122	не о	1	2
123	мысль о	1	2
124	да и	1	2
125	в полной	1	2
126	тем более	1	2
127	исключительно в	1	2
128	может и	2	2
129	подошел к	1	2
130	в частности	9	2
131	том числе	2	2
132	также и	3	1
133	и то	1	1
134	как известно	1	1
135	тем же	1	1
136	в иных	1	1
137	в себя	5	1
138	определенный и	1	1
139	культурной традиции	1	1
140	по преимуществу	1	1
141	те же	1	1
142	не с	3	1
143	в и	1	1
144	особенно в	1	1
145	по природе	5	1
146	и само	1	1
147	еще в	3	1
148	в эпоху	5	1
149	тем чем	1	1
150	не вполне	1	1
151	на себя	2	1
152	с ее	2	1
153	и ее	2	1
154	мы и	1	1
155	и что	2	1
156	как таковые	1	1
157	еще не	14	1
158	и на	5	1
159	без которой	1	1
160	в различных	2	1
161	с его	4	1
162	восходит к	1	1
163	к истине	1	1
164	и главное	1	1
165	различия между	3	1
