N	2gram	Voloshinov_1	DiskursI
1	не только	1	28
2	а не	1	22
3	может быть	1	17
4	и в	3	16
5	но и	1	14
6	и не	1	11
7	не может	4	9
8	то же	1	7
9	в его	1	7
10	к тому	1	5
11	и на	1	5
12	же время	1	4
13	для него	1	4
14	в особенности	1	4
15	связи с	1	4
16	по своим	1	4
17	точки зрения	1	3
18	в лингвистике	1	3
19	в то	1	3
20	литературного произведения	1	3
21	один из	2	3
22	о литературе	1	2
23	исходя из	1	2
24	может и	1	2
25	не менее	1	2
26	и все	1	2
27	влияния на	1	2
28	общения и	2	2
29	в каждом	1	2
30	бы на	1	1
31	без учета	1	1
32	событий и	1	1
33	в системе	1	1
34	с другими	1	1
35	деятельности в	1	1
36	своих теоретических	1	1
37	нет и	1	1
38	с точки	1	1
39	из этих	1	1
40	если в	2	1
41	во второй	1	1
42	и тому	1	1
43	художественного целого	1	1
44	он в	1	1
45	несмотря на	1	1
46	и поэтика	1	1
47	книги о	1	1
48	и должно	1	1
49	если бы	1	1
50	на примере	1	1
