N	2gram	Berdyaev_M_1	Problemy
1	и в	28	43
2	и не	11	29
3	т е	2	26
4	может быть	30	23
5	как бы	2	22
6	не может	28	18
7	в пределах	1	16
8	как и	5	14
9	у достоевского	42	14
10	но и	25	14
11	и т	1	13
12	в этом	20	13
13	точки зрения	4	13
14	что он	10	13
15	в нем	13	12
16	в одном	1	12
17	не только	29	11
18	в каждом	1	11
19	не в	16	11
20	и на	6	10
21	но в	7	10
22	в его	9	10
23	прежде всего	10	10
24	еще не	1	9
25	он не	24	9
26	никогда не	14	9
27	т п	1	9
28	лишь в	6	8
29	для него	11	8
30	и его	9	8
31	с самим	2	8
32	в самом	11	7
33	к себе	1	7
34	в то	2	7
35	и сам	1	7
36	в него	3	7
37	до сих	2	7
38	а не	25	7
39	о себе	3	7
40	что же	1	7
41	сих пор	2	7
42	то что	5	7
43	и наконец	1	6
44	к одному	1	6
45	не как	4	6
46	в этих	4	6
47	что я	1	6
48	приводит к	2	6
49	о нем	2	6
50	в том	6	6
51	в котором	8	6
52	у него	17	6
53	и все	10	6
54	самом деле	1	5
55	к другому	1	5
56	и он	12	5
57	но не	8	5
58	по отношению	2	5
59	в себе	7	5
60	все эти	2	5
61	но ведь	1	5
62	да и	1	5
63	и с	3	5
64	было бы	10	5
65	рядом с	1	5
66	у меня	1	5
67	о том	2	5
68	и что	2	5
69	к нему	7	5
70	мы увидим	3	5
71	так что	1	5
72	вовсе не	1	5
73	в той	2	5
74	все это	6	5
75	а что	1	5
76	бы в	2	5
77	а в	4	5
78	отношению к	2	5
79	достоевского в	9	4
80	и до	1	4
81	он ничего	1	4
82	а как	2	4
83	мы не	1	4
84	слово о	1	4
85	я не	1	4
86	с его	3	4
87	во всех	1	4
88	себе и	2	4
89	отличие от	1	4
90	в своем	10	4
91	героев достоевского	2	4
92	человека в	13	4
93	же не	1	4
94	в них	4	4
95	должно быть	3	4
96	во время	1	4
97	в своей	15	4
98	в отличие	1	4
99	но он	9	4
100	как его	1	4
101	в самой	7	4
102	достоевский в	5	4
103	к тому	3	4
104	и это	12	4
105	с собой	3	4
106	из одного	1	4
107	этот вопрос	1	4
108	только в	6	4
109	же и	1	4
110	так как	3	4
111	точек зрения	1	4
112	на этот	2	4
113	до конца	14	4
114	не на	1	4
115	то есть	3	4
116	не могут	5	4
117	и нет	2	4
118	но это	1	4
119	это он	1	4
120	что в	10	4
121	себя как	1	3
122	также и	2	3
123	не хочет	2	3
124	должна быть	6	3
125	мы уже	1	3
126	не была	3	3
127	в виду	2	3
128	обращен к	4	3
129	он был	14	3
130	он сам	6	3
131	художественном творчестве	1	3
132	его художественного	1	3
133	за пределы	4	3
134	в одной	1	3
135	когда он	3	3
136	и к	2	3
137	следует быть	1	3
138	чем у	4	3
139	это не	5	3
140	в жизни	3	3
141	кажется что	1	3
142	достоевского но	3	3
143	и их	3	3
144	в их	4	3
145	зрения и	1	3
146	в отношении	1	3
147	она не	4	3
148	на два	1	3
149	себе самом	1	3
150	ничего не	3	3
151	во всем	1	3
152	могут быть	2	3
153	не менее	1	3
154	и этим	1	3
155	можно было	1	3
156	так и	1	3
157	если бы	2	3
158	и даже	1	3
159	с ним	2	3
160	между тем	1	3
161	что и	4	3
162	и только	1	3
163	достоевского это	2	3
164	его в	3	3
165	и ее	1	3
166	себя в	3	3
167	уже не	4	3
168	творчестве достоевского	4	3
169	достоевского не	4	3
170	тем что	4	3
171	о своей	2	3
172	по своим	1	3
173	себя и	3	3
174	он и	2	3
175	в человеке	8	3
176	в романах	1	3
177	все же	2	3
178	и для	2	3
179	сознания и	1	3
180	для достоевского	5	3
181	это все	1	3
182	не знает	4	3
183	есть и	3	3
184	я и	1	2
185	ту же	1	2
186	отношения к	4	2
187	чтобы не	2	2
188	человека и	14	2
189	ивана карамазова	7	2
190	из подполья	10	2
191	не во	1	2
192	и о	1	2
193	вопрос о	2	2
194	во внутреннем	1	2
195	время как	2	2
196	бы ни	1	2
197	то это	1	2
198	себе что	1	2
199	друг к	1	2
200	в сторону	1	2
201	же она	1	2
202	отношение к	4	2
203	как в	2	2
204	с этим	3	2
205	романах достоевского	1	2
206	целый ряд	1	2
207	и как	2	2
208	его к	1	2
209	слова он	1	2
210	та же	1	2
211	бы и	3	2
212	бы не	2	2
213	с их	2	2
214	отношение между	1	2
215	мы чувствуем	1	2
216	как он	2	2
217	к миру	2	2
218	и еще	3	2
219	на том	3	2
220	своей записной	2	2
221	достоевского как	2	2
222	об этом	1	2
223	к другу	1	2
224	достоевского он	7	2
225	знает что	1	2
226	входит в	2	2
227	него как	2	2
228	достоевского и	10	2
229	слова что	1	2
230	одна и	1	2
231	достоевского нет	5	2
232	том что	3	2
233	которую он	2	2
234	почти нет	1	2
235	что такое	1	2
236	в такой	1	2
237	себе а	1	2
238	в которых	4	2
239	мысли и	2	2
240	и то	1	2
241	достоевский не	6	2
242	записной книжке	2	2
243	и без	1	2
244	пути и	2	2
245	а лишь	1	2
246	и эта	1	2
247	у нас	5	2
248	лежит в	1	2
249	отличается от	2	2
250	это я	1	2
251	как человек	1	2
252	но к	1	2
253	и самое	1	2
254	в конце	7	2
255	не могу	1	2
256	особенно в	3	2
257	то время	2	2
258	в образе	1	2
259	и душа	1	2
260	с человеком	1	2
261	не был	7	2
262	в глаза	1	2
263	все его	3	2
264	со смердяковым	1	2
265	от них	1	2
266	переходит в	15	2
267	от одного	1	2
268	и всякое	1	2
269	того что	7	2
270	быть и	1	2
271	и мысли	1	2
272	конечно не	3	2
273	уже в	4	2
274	то и	1	2
275	не принимает	1	2
276	его и	1	2
277	ведь это	2	2
278	и та	1	2
279	и кто	1	2
280	и др	1	2
281	что не	1	2
282	него не	2	2
283	в творчестве	10	2
284	так же	1	2
285	по своему	2	2
286	для понимания	1	2
287	человек с	1	2
288	своей жизни	1	2
289	знает только	1	2
290	сознании и	1	2
291	достоевского становится	1	2
292	его творчества	2	2
293	себя на	1	2
294	человек и	6	2
295	для нас	3	2
296	бы он	1	2
297	еще более	1	2
298	конце концов	2	2
299	хотя бы	3	2
300	отношении к	2	2
301	не есть	9	2
302	образ человека	7	2
303	сказать что	2	2
304	но этот	1	2
305	в своих	1	2
306	он пишет	1	2
307	значение в	1	2
308	во всяком	1	2
309	смысле слова	4	1
310	обращено к	1	1
311	и через	1	1
312	выражения в	1	1
313	на самом	1	1
314	униженным и	1	1
315	или к	4	1
316	это и	4	1
317	его внутреннюю	1	1
318	и есть	14	1
319	между двумя	1	1
