N	3gram	Savitsky_P_1	StatiiOP
1	в том что	4	11
2	не может быть	1	5
3	в этом смысле	1	4
4	с точки зрения	3	4
5	во всяком случае	1	4
6	с другой стороны	1	4
7	не в том	1	3
8	то же время	7	3
9	не только в	4	3
10	в то же	7	3
11	только в виде	1	2
12	в эту эпоху	1	2
13	но и в	2	2
14	с одной стороны	3	2
15	и в этом	1	2
16	и пр в	1	2
17	заключается в том	2	2
18	тем более что	1	2
19	в каком смысле	1	2
20	и т д	1	2
21	нет никакого сомнения	1	1
22	в том виде	1	1
23	собою как бы	1	1
24	более или менее	1	1
25	и с этим	1	1
26	во многих случаях	1	1
27	и в качестве	1	1
28	и к л	2	1
29	тот или иной	1	1
30	вместе с тем	1	1
31	в собственном смысле	1	1
32	и если бы	2	1
33	в значительной мере	2	1
34	и в частности	1	1
35	в применении к	1	1
36	в известном смысле	1	1
37	было бы неправильно	1	1
38	что из всех	1	1
39	можно судить по	1	1
40	на пути к	1	1
41	для того чтобы	1	1
