N	4gram	Bakhtin_fo_1	Problemy
1	в то же время	6	9
2	но в то же	1	5
3	бы он ни был	1	2
4	и т п все	1	2
5	и в то же	4	2
6	точка зрения на мир	1	2
7	те же что и	1	1
8	дело в том что	2	1
9	на себе и на	1	1
10	то же время оно	1	1
11	видения и изображения в	1	1
12	к себе самому и	1	1
13	мы имеем в виду	1	1
14	с другими чертами его	1	1
15	как мы уже говорили	3	1
16	перед нами был бы	1	1
17	в то время как	2	1
18	самого героя и его	1	1
19	так же как и	2	1
20	с точки зрения которого	1	1
21	себе и на своей	1	1
22	можно прямо сказать что	2	1
23	то перед нами был	1	1
24	каков бы он ни	1	1
