N	2gram	Berdyaev_M_2	Problema
1	в его	5	43
2	и не	18	42
3	и в	46	38
4	не может	15	27
5	может быть	21	26
6	как бы	8	22
7	по отношению	2	21
8	отношению к	2	19
9	и с	3	17
10	и его	5	16
11	в этом	20	15
12	в нем	22	15
13	только в	3	13
14	прежде всего	12	13
15	независимо от	1	13
16	за пределы	1	12
17	во всех	2	11
18	ни в	3	11
19	и для	7	11
20	отношение к	8	10
21	к нему	2	10
22	не только	18	9
23	не имеет	4	9
24	его в	3	9
25	но и	15	9
26	и как	1	8
27	входит в	1	8
28	было бы	1	8
29	точки зрения	2	8
30	место в	2	8
31	в том	3	8
32	то что	5	8
33	в самом	5	7
34	в плане	1	7
35	как и	13	7
36	и становится	1	7
37	не в	9	7
38	с другой	1	7
39	между тем	2	7
40	в своей	5	7
41	что в	4	7
42	отношения к	2	6
43	самом деле	1	6
44	в пределах	1	6
45	не к	2	6
46	не всегда	2	6
47	с точки	1	6
48	не есть	13	6
49	и этим	2	6
50	ничего не	2	6
51	а в	2	6
52	высшей степени	3	5
53	тем как	1	5
54	в своем	8	5
55	все эти	1	5
56	то же	5	5
57	это не	5	5
58	в них	3	5
59	в высшей	3	5
60	так и	4	5
61	в основе	2	5
62	никогда не	18	5
63	с ним	3	5
64	и прежде	1	5
65	дело и	1	5
66	а не	13	5
67	должно быть	2	5
68	формы и	1	5
69	все они	1	5
70	на самом	1	4
71	должна быть	1	4
72	в ней	11	4
73	как в	7	4
74	но в	10	4
75	в нашем	7	4
76	в себе	10	4
77	перестает быть	1	4
78	но они	1	4
79	форма не	1	4
80	представлять себе	1	4
81	должны быть	4	4
82	в ее	1	4
83	можно было	2	4
84	не с	1	4
85	о том	3	4
86	направленной на	2	4
87	от всех	1	4
88	всех его	1	4
89	и только	1	4
90	к которому	3	4
91	что не	2	4
92	и потому	7	4
93	в более	2	4
94	лишь как	3	4
95	хотя бы	7	4
96	вне себя	1	4
97	между ними	1	4
98	сказать что	3	4
99	также и	4	3
100	культурного творчества	1	3
101	говорить о	1	3
102	на них	1	3
103	менее всего	3	3
104	нет и	1	3
105	значение для	1	3
106	и к	7	3
107	в целом	1	3
108	к миру	1	3
109	он не	10	3
110	как момент	1	3
111	в мире	7	3
112	и тем	1	3
113	том что	4	3
114	лишь момент	2	3
115	или как	1	3
116	и это	5	3
117	хотя и	2	3
118	и от	3	3
119	приводит к	1	3
120	дано в	1	3
121	если бы	3	3
122	и должно	3	3
123	на почве	3	3
124	но с	2	3
125	мы увидим	2	3
126	со всеми	1	3
127	вопроса о	4	3
128	момент ее	1	3
129	оно не	2	3
130	себя и	3	3
131	от познания	1	3
132	есть лишь	17	3
133	нуждаться в	1	3
134	связь с	1	3
135	и на	3	3
136	да и	2	3
137	но это	8	3
