N	2gram	Bakhtin_Pr_1	Freidism
1	таким образом	11	24
2	и не	34	23
3	не может	11	20
4	точки зрения	21	19
5	прежде всего	7	18
6	в его	24	15
7	в этом	25	15
8	и пр	1	15
9	может быть	21	13
10	и его	13	12
11	все эти	8	11
12	как и	8	11
13	с точки	15	11
14	то что	18	11
15	как бы	28	11
16	как мы	5	10
17	так и	10	10
18	с ним	6	10
19	его в	4	10
20	и потому	3	10
21	жизни человека	1	10
22	но в	4	10
23	самом деле	5	10
24	во всех	5	9
25	и в	23	9
26	по отношению	11	9
27	с его	6	9
28	еще не	5	8
29	отношению к	11	8
30	и все	3	8
31	в своей	11	8
32	оно и	1	8
33	то же	10	8
34	он не	4	8
35	все это	7	8
36	только в	8	8
37	не только	13	8
38	так как	7	8
39	все что	3	8
40	что он	10	8
41	и наконец	5	7
42	во всяком	4	7
43	к нему	3	7
44	те же	1	7
45	что же	1	7
46	отношение к	1	7
47	тот же	2	7
48	сказать что	5	7
49	один из	2	7
50	всяком случае	3	7
51	мы уже	2	7
52	в самом	8	7
53	ни в	3	7
54	и с	4	6
55	вовсе не	8	6
56	хотя бы	2	6
57	для него	15	6
58	в ней	1	6
59	совершенно не	1	6
60	того что	2	6
61	никогда не	5	6
62	за пределы	6	6
63	точку зрения	4	6
64	так сказать	3	6
65	можно сказать	2	5
66	в этой	4	5
67	что в	8	5
68	в большинстве	2	5
69	не в	6	5
70	а в	7	5
71	мы должны	2	5
72	он сам	3	5
73	в себя	3	5
74	на самом	4	5
75	но и	11	5
76	могут быть	1	5
77	что такое	1	5
78	в чем	1	5
79	с этим	1	5
80	для того	2	5
81	для этого	1	5
82	его жизни	1	5
83	и на	10	5
84	в то	10	5
85	и к	4	5
86	в каком	1	5
87	большинстве случаев	2	5
88	сознанием и	1	5
89	в которой	4	4
90	все же	5	4
91	же время	7	4
92	данном случае	2	4
93	говорить о	2	4
94	при этом	3	4
95	и для	3	4
96	не было	3	4
97	не менее	1	4
98	в жизни	6	4
99	как раз	4	4
100	в нем	20	4
101	сознания и	3	4
102	мы не	2	4
103	того чтобы	4	4
104	не дает	3	4
105	потому что	12	4
106	смысле слова	1	4
107	совсем не	1	4
108	но не	8	4
109	всех этих	3	4
110	между ними	2	4
111	это только	1	4
112	в этих	2	4
113	из этих	2	4
114	с другими	7	4
115	то ни	3	4
116	и о	3	4
117	зависимости от	3	4
118	конечно не	1	4
119	характер и	1	4
120	той же	6	4
121	и за	1	4
122	уже не	8	4
123	об этом	1	4
124	в основе	5	4
125	с их	5	4
126	в котором	2	4
127	в зависимости	3	4
128	от того	2	4
129	в мир	3	4
130	себя и	2	4
131	к тому	1	4
132	сознания с	2	4
133	с самого	2	4
134	я не	3	4
135	если мы	1	4
136	в пределах	9	4
137	этот вопрос	2	4
138	в данном	2	4
139	сознания это	1	3
140	войти в	1	3
141	приводит к	3	3
142	и вот	2	3
143	от всех	1	3
144	всем этим	1	3
145	бы то	3	3
146	он хотел	1	3
147	случае не	1	3
148	в себе	5	3
149	вместе с	2	3
150	в сознании	2	3
151	не знает	1	3
152	нисколько не	2	3
153	в голову	1	3
154	а только	1	3
155	только то	3	3
156	бы он	1	3
157	выражение и	1	3
158	этот процесс	1	3
159	в искусстве	2	3
160	зрения на	8	3
161	мысли и	2	3
162	в объективном	2	3
163	как в	6	3
164	и этим	2	3
165	ее в	1	3
166	подхода к	1	3
167	и т.п	3	3
168	жизни и	6	3
169	преобладание в	1	3
170	психики и	1	3
171	именно и	2	3
172	и содержание	1	3
173	и она	1	3
174	что все	3	3
175	по поводу	1	3
176	в них	3	3
177	человека является	1	3
178	теперь мы	1	3
179	одна из	2	3
180	у него	6	3
181	слова и	1	3
182	такой же	1	3
183	не могут	6	3
184	и что	1	3
185	она не	5	3
186	тому что	2	3
187	о себе	9	3
188	но ведь	1	3
189	на него	2	3
190	со всеми	1	3
191	на этот	2	3
192	себя в	3	3
193	что может	2	3
194	и есть	5	3
195	и по	2	3
196	на себя	3	3
197	может стать	1	3
198	к себе	2	3
199	и внешней	1	3
200	с ее	2	3
201	существенных моментах	1	3
202	своей последней	1	3
203	со стороны	2	3
204	если бы	10	3
205	и от	1	3
206	было бы	6	3
207	ни на	2	3
208	и как	8	3
209	чем не	1	3
210	самого начала	3	3
211	но это	5	3
212	во втором	1	3
213	они и	1	2
214	не позволяет	2	2
215	отсюда и	1	2
216	что бы	1	2
217	быть это	1	2
218	для нас	3	2
219	его целом	5	2
220	из них	2	2
221	должны быть	1	2
222	конце концов	4	2
223	внешнего мира	3	2
224	другого человека	4	2
225	от этого	1	2
226	так же	6	2
227	отличается от	2	2
228	из всего	2	2
229	для себя	2	2
230	что как	1	2
231	как на	2	2
232	к этим	1	2
233	в этот	2	2
234	это уже	1	2
235	для сознания	1	2
236	рядом с	13	2
237	в нас	1	2
238	них не	1	2
239	лежат в	1	2
240	ни было	4	2
241	значение для	1	2
242	сих пор	2	2
243	вполне понятно	1	2
244	в какой	1	2
245	не исчерпывается	2	2
246	его и	1	2
247	что это	1	2
248	и другие	2	2
249	в конце	5	2
250	до сих	2	2
251	в области	3	2
252	в их	3	2
253	которые он	2	2
254	но их	1	2
255	более того	3	2
256	социальной жизни	2	2
257	а потому	2	2
258	в нашем	1	2
259	притом в	1	2
260	художественной формы	5	2
261	ответ на	1	2
262	в эту	1	2
263	не можем	1	2
264	но все	4	2
265	отношения к	2	2
266	и самое	2	2
267	ничем не	1	2
268	все то	4	2
269	в ее	1	2
270	здесь в	1	2
271	мир в	2	2
272	как не	4	2
273	и притом	2	2
274	тем же	1	2
275	для понимания	3	2
276	ввести его	1	2
277	этом отношении	5	2
278	но как	3	2
279	есть та	1	2
280	высшей степени	1	2
281	сознания в	2	2
282	точка зрения	7	2
283	в момент	1	2
284	мы остановимся	3	2
285	проникнуть в	1	2
286	они не	3	2
287	в совершенно	2	2
288	на которой	1	2
289	потому и	1	2
290	отличие от	2	2
291	это и	9	2
292	на почве	1	2
293	в первый	1	2
294	выражение в	4	2
295	можно сделать	1	2
296	из тех	2	2
297	даже если	1	2
298	в отношении	2	2
299	только с	2	2
