N	3gram	Nazirov_Tv_2	Myslijsy
1	по отношению к	3	13
2	в том что	2	13
3	не может быть	3	9
4	там же с	9	7
5	и в этом	1	6
6	в нем самом	1	5
7	с другой стороны	2	5
8	потому что в	1	4
9	в свою очередь	1	4
10	в том смысле	1	4
11	и т д	11	4
12	и что в	1	3
13	и в том	1	3
14	то же время	7	3
15	с самого начала	1	3
16	так и в	2	3
17	в то же	7	3
18	только потому что	1	2
19	дело в том	1	2
20	в таком случае	2	2
21	на этот вопрос	2	2
22	по крайней мере	2	2
23	в применении к	1	2
24	и потому что	1	2
25	не могут быть	1	2
26	не только для	1	2
27	и т п	2	2
28	как и в	1	2
29	не в себе	1	1
30	что на ней	1	1
31	может быть назван	1	1
32	но и потому	1	1
33	в стороне все	1	1
34	мы не можем	1	1
35	не говорит но	1	1
36	сами по себе	1	1
37	и многое другое	2	1
38	только то что	1	1
39	до сих пор	3	1
40	что в нем	1	1
41	но это не	1	1
42	можно было бы	1	1
43	и в истории	1	1
44	что ничего не	1	1
45	то есть его	1	1
46	в мире ничего	1	1
47	так же как	2	1
48	в синтаксисе и	1	1
49	что у нас	1	1
50	в связи с	1	1
51	не зависит от	1	1
52	но при этом	1	1
53	то все же	1	1
54	во всяком случае	2	1
55	не только потому	1	1
56	по себе не	1	1
57	как и всякая	1	1
58	д и т	1	1
59	том смысле что	1	1
60	в то время	1	1
61	о том что	2	1
62	в одном из	2	1
63	другой стороны и	1	1
64	в каждом из	1	1
65	друг за другом	1	1
66	что в них	1	1
67	и вообще все	1	1
68	точно так же	1	1
69	т д в	1	1
70	человек так же	1	1
71	не так как	1	1
