N	3gram	Nazirov_Vr_1	Myshleni
1	в том что	2	19
2	с точки зрения	2	10
3	так же как	1	6
4	в то время	1	6
5	заключается в том	1	5
6	на то что	1	4
7	до сих пор	1	3
8	в этом отношении	1	3
9	в этом смысле	1	2
10	в том же	1	2
11	и не может	1	2
12	независимо от того	1	2
13	и то что	1	2
14	как раз в	2	2
15	его отношение к	1	2
16	с другой стороны	1	2
17	не только не	1	2
18	в связи с	3	2
19	не может быть	2	2
20	то что я	1	1
21	в котором он	1	1
22	в ответ на	1	1
23	о том как	1	1
24	на первый план	1	1
25	в этот период	1	1
26	точно так же	1	1
27	но мы знаем	1	1
28	едва ли не	1	1
29	на этот раз	1	1
30	и в этом	1	1
31	как бы в	1	1
32	и начинается с	1	1
33	и все же	5	1
34	от того как	1	1
35	в свою очередь	1	1
36	связи с этим	1	1
37	но в этом	1	1
38	я не знаю	1	1
39	не с точки	1	1
40	тем не менее	1	1
41	в конце концов	1	1
