N	2gram	Losev_Vesc_1	EvropaiE
1	и в	21	37
2	в отношении	4	32
3	в пределах	1	25
4	точки зрения	5	23
5	что в	9	21
6	р x	1	20
7	не только	36	18
8	с точки	3	17
9	в то	3	16
10	то же	6	15
11	хотя бы	6	15
12	в своем	6	14
13	но в	5	14
14	в качестве	1	14
15	но и	18	14
16	и не	29	14
17	в этом	4	12
18	в том	8	11
19	с и	1	10
20	так и	3	10
21	отнюдь не	5	9
22	в себе	14	9
23	только в	14	9
24	прежде всего	9	9
25	не может	17	9
26	так же	1	9
27	т е	55	9
28	в смысле	12	9
29	в ее	7	8
30	думать что	1	8
31	было бы	14	8
32	в своей	5	8
33	к тому	3	8
34	с одной	3	8
35	одной стороны	3	8
36	также и	6	7
37	а также	1	7
38	того что	8	7
39	так как	7	7
40	с другой	6	7
41	и выше	1	7
42	как и	8	7
43	между прочим	3	7
44	может быть	16	6
45	во всех	2	6
46	стороны и	2	6
47	на то	4	6
48	том что	8	6
49	того чтобы	3	6
50	вовсе не	10	6
51	для того	2	6
52	в последние	2	6
53	и даже	6	6
54	как бы	12	6
55	с этой	4	6
56	то что	27	6
57	в экономическом	1	6
58	же как	1	5
59	которую мы	1	5
60	но не	5	5
61	не в	5	5
62	в россии	2	5
63	и по	1	5
64	но если	8	5
65	тем самым	1	5
66	как мы	4	5
67	в виде	1	5
68	со стороны	5	5
69	от этого	2	5
70	в частности	1	5
71	и потому	5	5
72	в течение	1	5
73	в той	3	5
74	как нам	1	5
75	этой точки	1	5
76	то в	4	4
77	мы не	6	4
78	вопрос о	1	4
79	в полной	1	4
80	но даже	3	4
81	в ней	12	4
82	независимо от	5	4
83	в самом	9	4
84	то ни	4	4
85	того или	1	4
86	несмотря на	1	4
87	и притом	3	4
88	к ней	2	4
89	той или	2	4
90	бы то	4	4
91	по себе	13	4
92	можно сказать	6	4
93	именно в	1	4
94	ни было	4	4
95	само по	1	4
96	или иной	1	4
97	не на	1	4
98	как это	2	4
99	для нас	2	4
100	сказать что	17	4
101	в применении	1	3
102	в сфере	4	3
103	из всех	1	3
104	бы и	5	3
105	на себя	1	3
106	того же	5	3
107	в общем	1	3
108	когда он	1	3
109	и к	1	3
110	себе не	3	3
111	или иную	2	3
112	но на	2	3
113	вообще не	2	3
114	в определенном	1	3
115	мы можем	4	3
116	не будет	12	3
117	не дает	1	3
118	и мы	1	3
119	и тем	3	3
120	с тем	5	3
121	мы видели	1	3
122	можно ли	7	3
123	дело в	4	3
124	никогда не	2	3
125	потому что	16	3
126	уже и	1	3
127	ли это	7	3
128	с другом	1	3
129	во все	1	3
130	бы ни	2	3
131	можно было	2	3
132	о том	6	3
