N	2gram	Losev_Dial_2	formyVre
1	и в	19	46
2	в этом	8	22
3	и т	17	14
4	прежде всего	8	14
5	вовсе не	13	13
6	человеческого тела	1	12
7	и его	5	12
8	во всех	2	11
9	не только	19	11
10	только в	5	11
11	т п	2	11
12	как бы	14	10
13	во время	2	10
14	точки зрения	12	10
15	в том	14	10
16	но в	2	10
17	мы уже	8	9
18	не в	8	9
19	у него	1	9
20	но и	12	9
21	вместе с	2	9
22	и не	30	9
23	мира и	1	9
24	то же	12	8
25	как и	10	8
26	с точки	8	8
27	потому что	14	8
28	связи с	4	8
29	в его	1	8
30	из них	3	8
31	в связи	4	8
32	жизни и	6	8
33	и на	1	7
34	так сказать	1	7
35	всех этих	3	7
36	так и	10	7
37	в них	1	7
38	вещей и	3	7
39	может быть	20	7
40	времени в	2	7
41	в одном	4	7
42	то что	14	7
43	как мы	3	6
44	еще не	4	6
45	все же	4	6
46	при этом	4	6
47	и с	5	6
48	его в	3	6
49	в основе	1	6
50	и явлений	1	6
51	никогда не	9	6
52	те же	1	6
53	и во	1	6
54	так как	14	6
55	в особенности	1	6
56	здесь в	1	6
57	все это	4	6
58	и времени	5	6
59	и все	12	6
60	но не	6	5
61	с этим	3	5
62	в своем	4	5
63	все эти	2	5
64	связанные с	1	5
65	в античном	2	5
66	он не	4	5
67	в нем	10	5
68	должно быть	7	5
69	в то	6	5
70	в дальнейшем	1	5
71	в пространстве	1	5
72	тела и	5	5
73	и др	1	5
74	в частности	2	5
75	по существу	1	5
76	в смысле	5	5
77	что в	7	5
78	также и	2	4
79	человека и	2	4
80	и самое	1	4
81	в мире	2	4
82	и он	1	4
83	что они	6	4
84	в истории	2	4
85	как в	2	4
86	уже в	4	4
87	из этих	1	4
88	в себе	15	4
89	их в	2	4
90	тела в	1	4
91	том что	10	4
92	в котором	1	4
93	же время	5	4
94	уже говорили	1	4
95	в образе	1	4
96	с ним	4	4
97	о том	5	4
98	все его	3	4
99	так что	7	4
100	конечно не	6	4
101	с другом	1	4
102	и их	3	4
103	а не	16	4
104	человеческой жизни	2	4
105	отнюдь не	6	4
106	друг с	1	4
107	с этой	1	4
108	же в	2	4
109	есть и	6	4
110	ему в	1	3
111	в виду	5	3
112	того же	1	3
113	слова и	1	3
114	мы еще	1	3
115	другой пример	1	3
116	мы будем	1	3
117	точка зрения	1	3
118	нет и	1	3
119	и как	10	3
120	на нас	1	3
121	весь мир	1	3
122	уже не	3	3
123	та же	4	3
124	т д	15	3
125	и вещей	1	3
126	и по	4	3
127	уже сказали	1	3
128	таким образом	4	3
129	на первый	1	3
130	в их	2	3
131	вернемся к	1	3
132	она ни	1	3
133	кроме того	3	3
134	на границе	1	3
135	же самое	2	3
136	к тому	2	3
137	себя и	1	3
138	мы наблюдаем	1	3
139	и совершенно	2	3
140	том как	2	3
141	жизнь и	5	3
142	в другом	4	3
143	как у	1	3
144	что и	5	3
145	того что	6	3
146	тот же	1	3
147	что он	6	3
148	дана в	1	3
149	во времени	4	3
150	все они	1	3
151	и они	2	3
152	в прошлом	1	3
153	жизни конечно	1	3
154	тем что	2	3
155	что на	2	3
156	и даже	14	3
157	и прежде	2	3
158	не было	3	3
159	не на	2	3
160	о чем	3	3
161	еще нет	1	3
162	это значит	8	3
163	в это	3	3
164	тем более	1	3
165	в этих	3	3
166	ее в	2	3
167	а в	4	3
168	себе самому	1	3
169	и идеи	2	3
170	но эти	1	3
171	и идей	1	3
172	смысле слова	1	2
173	как его	1	2
174	жизни она	1	2
175	и есть	4	2
176	тем же	2	2
177	и до	1	2
178	оно было	1	2
179	мы имеем	3	2
180	в сущности	2	2
181	говорить о	5	2
182	он был	1	2
183	вещь в	1	2
184	не был	1	2
185	бы она	1	2
186	совсем не	1	2
187	явлений и	2	2
188	если в	2	2
189	к ним	1	2
190	в одной	4	2
191	то в	1	2
192	пространства и	7	2
193	и к	7	2
194	от этого	3	2
195	жизнь как	1	2
196	в этой	3	2
197	с одной	2	2
198	только один	1	2
199	как он	4	2
200	не могла	1	2
201	она еще	1	2
202	после этого	3	2
203	и вот	4	2
