N	2gram	Nazirov_Tv_1	Sotsiolo
1	все это	10	7
2	в том	7	5
3	в этом	6	5
4	не только	7	3
5	и в	21	3
6	о литературе	1	3
7	не в	2	3
8	в его	13	3
9	но и	3	2
10	конце концов	1	2
11	было бы	1	2
12	к которому	1	2
13	в смысле	1	2
14	только в	5	2
15	дело не	3	2
16	по природе	6	2
17	далеко не	3	2
18	тем более	1	2
19	том что	11	2
20	в частности	2	2
21	как будто	5	2
22	то что	8	2
23	и что	1	2
24	еще не	1	2
25	только как	1	2
26	ведь это	1	2
27	таким образом	5	2
28	это и	3	2
29	отношению к	1	2
30	в конце	1	2
31	что в	12	2
32	может быть	5	2
33	как бы	17	2
34	по отношению	1	2
35	то же	13	2
36	крайней мере	2	1
37	что все	3	1
38	я и	3	1
39	же не	1	1
40	опираясь на	1	1
41	вряд ли	2	1
42	наконец в	1	1
43	по себе	1	1
44	даже в	3	1
45	а вот	1	1
46	в мире	4	1
47	в этой	5	1
48	тому что	1	1
49	отнюдь не	5	1
50	более не	2	1
51	эти два	1	1
52	этой области	1	1
53	на все	1	1
54	и самые	1	1
55	с другой	3	1
56	его в	1	1
57	только для	1	1
58	с ним	3	1
59	это не	4	1
60	на этот	1	1
61	именно в	2	1
62	в чем	2	1
63	все же	5	1
64	один из	4	1
65	и есть	1	1
66	перед нами	2	1
67	в то	15	1
68	и наконец	2	1
69	только то	1	1
70	а с	1	1
71	тем что	1	1
72	не отдельные	1	1
73	в наше	2	1
74	и как	4	1
75	в процессе	1	1
76	что он	6	1
77	прежде всего	4	1
78	бы он	1	1
79	в них	1	1
80	так и	2	1
81	не было	1	1
82	одной стороны	1	1
83	но только	2	1
84	и не	7	1
85	это вовсе	1	1
86	из себя	2	1
87	на тех	1	1
88	никогда не	3	1
89	наше время	2	1
90	зависит от	2	1
91	он по	1	1
92	это как	3	1
93	же время	12	1
94	и о	1	1
95	связь между	1	1
96	все эти	1	1
97	чуть ли	1	1
98	как и	12	1
99	между собой	1	1
100	с помощью	1	1
101	для этого	1	1
102	в настоящее	1	1
103	мы должны	1	1
104	в таких	1	1
105	их на	1	1
106	в сущности	1	1
107	в серьезных	1	1
108	но она	2	1
109	вот в	2	1
110	против этого	1	1
111	в связи	1	1
112	на первый	1	1
113	и его	6	1
114	в этих	2	1
115	место в	3	1
116	связи с	1	1
117	хотя бы	5	1
118	в целом	4	1
119	мы переходим	1	1
120	не может	4	1
121	в своей	4	1
122	и должно	1	1
123	не от	1	1
124	а в	6	1
125	не способен	1	1
126	него и	1	1
127	что она	2	1
128	о том	6	1
129	по самому	2	1
130	именно и	1	1
131	в области	1	1
132	же это	1	1
133	настоящее время	2	1
134	он ни	3	1
135	свои права	1	1
136	в него	2	1
137	в котором	6	1
138	никак не	1	1
139	и стиля	1	1
140	темы и	1	1
141	может не	2	1
142	столь же	1	1
143	время в	3	1
144	себя по	1	1
145	собой не	1	1
146	мы понимаем	1	1
147	он говорит	3	1
148	в область	1	1
149	ни на	3	1
150	в конечном	4	1
151	его построения	1	1
152	что это	1	1
153	вовсе не	5	1
154	ли не	1	1
155	жизни он	2	1
156	но сам	1	1
157	же самое	1	1
158	с одной	1	1
159	литературе о	1	1
160	но не	3	1
161	у него	7	1
162	в виде	3	1
163	в данном	2	1
164	между тем	1	1
165	и по	3	1
166	что на	1	1
167	конечном счете	4	1
168	по крайней	2	1
169	и более	1	1
170	и будет	2	1
171	в каждом	3	1
172	это значит	1	1
