N	3gram	Tiupa_Lite_1	EvropaiE
1	с точки зрения	2	16
2	в то же	5	15
3	то же время	5	14
4	в отношении к	1	12
5	с одной стороны	2	8
6	в том что	11	6
7	с этой точки	3	5
8	этой точки зрения	3	5
9	бы то ни	1	4
10	не только в	4	4
11	то ни было	1	4
12	и в этом	1	4
13	в этом отношении	2	3
14	можно было бы	1	3
15	ту или иную	2	3
16	во всяком случае	2	3
17	и прежде всего	3	3
18	прежде всего в	3	2
19	между прочим и	1	2
20	не говоря уже	2	2
21	только в том	2	2
22	из того что	2	2
23	к тому чтобы	1	2
24	и в частности	1	2
25	в данном случае	4	2
26	но в то	1	2
27	с другой стороны	1	2
28	не может быть	1	2
29	в свою очередь	1	2
30	на то что	1	2
31	во второй половине	1	2
32	в большинстве случаев	1	2
33	и того же	1	1
34	говоря уже об	1	1
35	в последнее время	1	1
36	культуры и в	1	1
37	чуть ли не	2	1
38	дело в том	2	1
39	европы но и	1	1
40	во многих случаях	1	1
41	в соответствии с	1	1
42	в том же	3	1
43	в одной из	1	1
44	и не только	1	1
45	в лучшем случае	1	1
46	говоря уже о	1	1
47	в отличие от	5	1
48	оно определяется в	1	1
49	в духовной жизни	1	1
50	не есть ли	1	1
51	не сводится к	3	1
52	в значительной степени	1	1
53	а также и	1	1
54	по большей части	1	1
55	и всякая иная	1	1
56	в связи с	4	1
57	всякая иная культурная	1	1
58	же время не	1	1
59	тем что для	1	1
60	в полной мере	1	1
61	это должно быть	1	1
62	каждого из них	1	1
63	только в качестве	1	1
64	и тем самым	2	1
65	и тем более	1	1
66	одного и того	1	1
67	в том числе	1	1
68	тех или иных	1	1
69	же время многие	1	1
70	к тому же	1	1
