N	2gram	Ircho_Kome_3	Literetu
1	не только	5	24
2	при этом	7	19
3	в качестве	2	17
4	но и	4	17
5	а не	4	16
6	в том	12	16
7	в частности	3	15
8	том что	13	14
9	может быть	6	13
10	и не	21	12
11	в этом	8	12
12	прежде всего	5	11
13	состоит в	2	11
14	в своем	8	11
15	то что	4	10
16	такого рода	1	10
17	или иначе	2	9
18	не в	4	8
19	как это	5	8
20	в целом	3	8
21	только в	1	8
22	и в	22	8
23	так или	2	8
24	в себе	4	7
25	как бы	3	7
26	не менее	5	7
27	я и	1	7
28	в его	8	7
29	я не	1	7
30	как и	3	6
31	связи с	5	6
32	точки зрения	4	6
33	и я	2	6
34	и сам	5	6
35	на смену	1	6
36	одним из	2	5
37	же время	5	5
38	не может	3	5
39	то же	7	5
40	в отличие	1	5
41	отличие от	2	5
42	в то	6	5
43	с этой	3	5
44	не столько	1	5
45	в конечном	2	5
46	с его	3	5
47	а также	2	5
48	как в	2	5
49	что он	8	5
50	уже в	2	5
51	всего лишь	2	4
52	все же	4	4
53	еще не	6	4
54	в связи	4	4
55	так и	4	4
56	в конце	7	4
57	в своей	5	4
58	для этого	1	4
59	но не	1	4
60	это не	2	4
61	никогда не	3	4
62	и его	6	4
63	в случае	1	4
64	представляет собой	3	4
65	в силу	2	4
66	конечном счете	2	4
67	со стороны	11	4
68	друг друга	4	4
69	в этой	3	4
70	с собой	1	4
71	не как	2	4
72	в своих	2	4
73	столь же	3	4
74	и тем	1	4
75	как раз	6	4
76	из них	5	4
77	приводит к	3	3
78	исходя из	2	3
79	во всяком	3	3
80	аналогии с	2	3
81	жизни и	1	3
82	не было	2	3
83	таким образом	12	3
84	при всей	2	3
85	этой точки	1	3
86	бы не	2	3
87	например в	1	3
88	ли не	2	3
89	а в	7	3
90	его в	8	3
91	по своей	1	3
92	сводится к	1	3
93	нуждается в	2	3
94	что в	5	3
95	при всем	2	3
96	потому что	10	3
97	что ему	2	3
98	более чем	5	3
99	и даже	3	3
100	не сводится	1	3
101	на рубеже	1	3
102	по отношению	5	3
103	к себе	5	3
104	в душе	1	3
105	несмотря на	4	3
106	что его	5	3
107	да и	1	3
108	один из	3	3
109	в основе	2	3
110	в их	2	3
111	не должен	1	3
112	у него	4	3
113	том же	1	3
114	в самом	9	3
115	далеко не	3	3
116	не мог	2	3
117	с другой	4	3
118	одно из	1	3
119	но в	5	3
120	нашего столетия	1	3
121	всего в	1	3
122	той же	1	3
123	в области	2	3
124	тем же	3	3
125	одного из	3	3
126	свое собственное	1	3
127	в пределах	2	3
128	в виду	2	3
129	он и	2	3
130	в е	1	2
131	все эти	1	2
132	все они	1	2
