N	4gram	Bakhtin_fo_1	Myshleni
1	в то время как	2	4
2	так же как и	2	4
3	но вместе с тем	1	4
4	приходит к выводу что	1	3
5	одно и то же	3	2
6	все более и более	1	2
7	с одной стороны и	2	1
8	в одно и то	3	1
9	дело в том что	2	1
10	как раз в том	1	1
11	само собой разумеется что	2	1
12	и в то же	4	1
13	и то же время	3	1
14	о которой мы говорили	1	1
15	или во всяком случае	1	1
16	в одном и том	1	1
17	в том числе и	2	1
18	в то же время	6	1
19	между ними не может	1	1
20	но для того чтобы	2	1
21	для того чтобы быть	1	1
22	как мы уже знаем	1	1
23	вместе с тем и	1	1
24	одном и том же	1	1
25	о которых мы говорили	1	1
26	не связанных между собой	1	1
27	в том что в	1	1
28	в тех случаях когда	1	1
